Belligerents.allies,Belligerents.axis,Belligerents.third party,Casualties and losses.allies,Casualties and losses.axis,Casualties and losses.third party,Casualties and losses.total,Commanders and leaders.allies,Commanders and leaders.axis,Commanders and leaders.third party,Date,Location,Result,Strength.allies,Strength.axis,Strength.third party,Strength.total,Territorial,level,name,parent,time,url
Poland,Germany,,"Unknown, but heavy","Unknown, but heavy,  100 men captured",,,Bohdan Stachlewski       Tadeusz Gerlecki †,Rudolf Koch-Erpach    ( POW ),,23 September 1939,"Krasnobród, Lublin Voivodeship",Polish victory,Nowogrodek Cavalry Brigade   2nd Horse Artillery Division   2nd Horse Rifles Regiment   1st  KOP  Cavalry Regiment,8th Infantry Division   Heavy  East Prussian  cavalry,,,,100,Battle of Krasnobród,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Krasnobr%C3%B3d
Poland,Germany,,"250–300 casualties 17,000 captured [1]",300–500 casualties 185 captured,,,Franciszek Kleeberg,Gustav Anton von Wietersheim,,2–5 October 1939,"Near Kock, Lublin Voivodeship, Poland",Polish tactical victoryGerman strategic victory,"Independent Operational Group Polesie  (18,000)","XIV Motorised Corps  (30,000)",,,,100,Battle of Kock,German Invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Kock_(1939)
"Germany   Soviet Union (From  17 September )   Slovak Republic (See  details )   Free City of Danzig 
 
 
   OUN",Poland,,"Germany : [Note 2] 16,343 killed, 3,500 missing, [11] 30,300 wounded 236 tanks destroyed 800 vehicles destroyed 246 aircraft destroyed Slovakia : 37 killed, 11 missing, 114 wounded 2 aircraft destroyed [12] 
 Soviet Union : [Note 3] 1,475 killed or missing, 2,383 wounded [3]  or:  5,327 killed, missing and wounded [13] 43 tanks destroyed
 
 
 Total casualties :  59,000","Poland : [Note 4] 66,000 dead 133,700 wounded 660,000–690,000 captured 132 tanks and armored cars destroyed 327 aircraft destroyed 859,700–889,700 total casualties",,,"Fedor von Bock ( Army Group North ) Gerd von Rundstedt ( Army Group South ) 
 
 Ferdinand Čatloš ( Army Bernolák ) 
 
 Mikhail Kovalyov ( Belorussian Front ) Semyon Timoshenko ( Ukrainian Front )","Edward Rydz-Śmigły ( Marshal of Poland ) Wacław Stachiewicz ( Chief of the General Staff ) Tadeusz Kutrzeba ( Poznań Army ) Juliusz Rómmel   ( Łódź Army ,  Warszawa Army ) Antoni Szylling   ( Kraków Army ) Władysław Bortnowski   ( Pomorze Army )",,1 September – 6 October 1939(1 month and 5 days),"Poland, eastern Germany, and the Free City of Danzig (modern-day Gdańsk)",German and Soviet victory,"Germany : 66 divisions, 6 brigades, 9,000 guns, [1] 2,750 tanks, 2,315 aircraft [2] Slovakia : 3 divisions 
 Joined on 17 September: 
 Soviet Union : 33+ divisions, 11+ brigades, 4,959 guns, 4,736 tanks, 3,300 aircraft 
 
 
 Total : 1,500,000 Germans, [1]  466,516 Soviets, [3] 51,306 Slovaks Grand total: 2,000,000+","Poland : 39 divisions  (24 mobilised on September 1), [4] 16 brigades, [4] 4,300 guns, [4] 210 tanks, 670  tankettes 400 aircraft [1] 
 
 
 Total: 1,000,000 [Note 1]",,,"Polish territory divided among Germany, the Soviet Union, and the Slovak client-state. Free City of Danzig annexed by Germany. Kresy annexed by Soviet Union.",1,German Invasion of Poland,Eastern Front,September–October 1939,https://en.wikipedia.org/wiki/Invasion_of_Poland
Soviet Union,Poland,,,,,Soviet counts:  13 killed   24 wounded   five  BT  tanks destroyed   one  BA-10   armoured car  destroyed   three other AFVs damaged,Mikhail Kovalyov      Pyotr Akhlyustin   Semyon Zybin,Jarosław Okulicz-Kozaryn,,18–19 September 1939,"Wilno, Second Polish Republic54°40′N 25°19′E﻿ / ﻿54.667°N 25.317°E﻿ / 54.667; 25.317Coordinates: 54°40′N 25°19′E﻿ / ﻿54.667°N 25.317°E﻿ / 54.667; 25.317",Soviet victory,Two cavalry divisions   three armoured brigades,"10 infantry battalions   (6,500 men)   18-22 guns (including AA guns)   ~40  MGs",,,,100,Battle of Wilno,Soviet invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Wilno_(1939)
Soviet Union,Poland,,"Soviet counts:   57 KIA   159 WIA   23 AFVs 
 
Polish counts:   800 KIA, MIA and wounded","Soviet counts:   644 KIA   1,543 captured",,,Ivan Boldin       Mikhail Petrov [1],Wacław Przeździecki       Józef Olszyna-Wilczyński       Edmund Heldut-Tarnasiewicz,,20 September 1939 – 24 September 1939(4 days),"Grodno, Poland",Soviet victory,Unknown number of tanks and infantry,"2,000-2,500 (September 20)   3,500-4,000 (September 21)   2 AA guns",,,,100,Battle of Grodno,Soviet invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Grodno_(1939)
Soviet Union,Poland,,"Soviet archives:  81 dead   184 wounded   7 tanks (5 T-26, 2 T-38)   2 tractors   3 anti-tank guns  [1]    (Polish accounts:)   ~500 dead   1,600 wounded   300 captured  [2]    Several guns   A few AFVs   Up to 40 tanks [ citation needed ]",~350 dead   900+ wounded   A few trucks [ citation needed ],,,Colonel Iwan Russijanow,Wilhelm Orlik-Rückemann,,28 September 1939,"Szack, Poland (now Ukraine)",Tactical Polish victory,52nd Rifle Division,"4,000 strong  KOP  group including artillery",,,,100,Battle of Szack,Soviet invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Szack
Soviet Union,Poland,,80 killed   102 wounded   4 tanks destroyed,200 killed   467 wounded,,,Col. Vasily Sokolov,Wilhelm Orlik-Rueckemann,,"October 1, 1939","Wytyczno, near Włodawa, Poland",Soviet victory,"1,200 men   200 guns   70 tanks","2,000 men   13 guns",,,,100,Battle of Wytyczno,Soviet invasion of Poland,,https://en.wikipedia.org/wiki/Battle_of_Wytyczno
Poland,Soviet Union,,"3,000–7,000 dead or missing, [1] [4] up to 20,000 wounded. [1] [Note 3] 320,000-450,000 captured [5] : 85","1,475–3,000 killed or missing 2,383–10,000 wounded. [Note 4]",,,Edward Rydz-Śmigły ( Marshal of Poland ),Mikhail Kovalyov (Belarusian Front) Semyon Timoshenko (Ukrainian Front),,17 September – 6 October 1939,Poland,Soviet victory,"20,000  Border Protection Corps , [1] [Note 1] 450,000  Polish Army . [2] [Note 2]","600,000–800,000 troops [2] [3] 33+ divisions 11+ brigades 4,959 guns 4,736 tanks 3,300 aircraft",,,Territory of Eastern Poland (Kresy) annexed to the Soviet Union,1,Soviet invasion of Poland,Eastern Front,September–October 1939,https://en.wikipedia.org/wiki/Soviet_invasion_of_Poland
Finland,Soviet Union,,"750 killed or missing [1] 1,000 wounded [1]","21,000–27,500 killed or missing [2] 2,100 captured 43 tanks captured 71 field-guns captured 29 anti-tank guns captured 260 trucks captured 1,170 horses captured",,,Hjalmar Siilasvuo,Ivan Dashichev  [ ru ]   Alexei Vinogradov,,7 December 1939-8 January  1940,"Suomussalmi, Finland",Finnish victory,"T3 regiments and separate battalions 11,500","9th Army 
 
 2 divisions 
 1 tank brigade 
45,000–55,000",,,,100,Battle of Suomussalmi,Soviet invasion of Finland,,https://en.wikipedia.org/wiki/Battle_of_Suomussalmi
Finland,Soviet Union,,"thousands  (killed, wounded, missing)","tens of thousands  (killed, wounded, missing)    large amounts of material  (tanks, guns, aircraft, etc.)",,,Carl Gustaf Emil Mannerheim Harald Öhquist,Semyon Timoshenko,,16–22 December 1939 (First)  1–15 February 1940 (Second),Summa Lahde Sector,"First battle in December: Finnish defensive victorySecond battle in February: Soviet victory, overrunning the Mannerheim Line",Third Division,7th Army 13th Army,,,,100,Battle of Summa,Soviet invasion of Finland,,https://en.wikipedia.org/wiki/Battle_of_Summa
Finland,Soviet Union,,402 killed (according to Finnish estimates) [2],"1001 killed and 2243 missing  (according to Soviet estimates). 7,000–9,000 killed 1,300 captured (according to Finnish estimates).  [3]",,,Hjalmar Siilasvuo,Alexei Vinogradov,,1-7 January 1940,Eastern Finland,Finnish victory,"10,000","13,962–25 000 [1] (Officially)",,,,100,Battle of Raate Road,Soviet invasion of Finland,,https://en.wikipedia.org/wiki/Battle_of_Raate_Road
Finland,Soviet Union,,"1,500 dead or wounded (estimate)","8,000 dead or wounded",,,Woldemar Hägglund Division: Lauri Tiainen (Until 31 January) Antero Svensson (From 1 February),Ivan Khabarov (Until 13 December) Grigori Shtern (From 13 December) Division:  (December) M.S. Yevstigneyev Corps:  (February–March) Dmitri Kozlov V.G. Vorontsov,,"December 7, 1939 to March 13, 1940","Kollaa river, Finland",Finnish victory,1 division and some small units [ citation needed ],"4 divisions, 1 tank brigade [ citation needed ]",,,,100,Battle of Kollaa,Soviet invasion of Finland,,https://en.wikipedia.org/wiki/Battle_of_Kollaa
Finland,Soviet Union,,"89 dead, 135 wounded, 16 captured","181 dead, 301 wounded, 72 captured",,,Captain   Antti Pennanen,Kirill Meretskov   Valerian Frolov,,30 November 1939 to 12 March 1940,"Petsamo, Finland",Soviet advance,Three companies,Two divisions,,,,100,Battle of Petsamo,Soviet invasion of Finland,,https://en.wikipedia.org/wiki/Battle_of_Petsamo_(1939)
"Finland 
 
 Foreign volunteers","Soviet Union 
 
 Finnish Democratic Republic  ( Puppet Government )",,"25,904 dead or missing [15] 43,557 wounded [16] 800–1,100  captured [17] 20–30 tanks  62 aircraft [18] 70,000 total casualties","126,875–167,976 dead or missing [19] [20] [21] 188,671–207,538 wounded or sick [19] [20]  (including at least 61,506 sick or  frostbitten [22] ) 5,572  captured [23] 1,200–3,543 tanks [24] [25] [26] 261–515 aircraft [26] [27] 321,000–381,000 total casualties",,,Kyösti Kallio     Risto Ryti     Carl Gustaf Emil Mannerheim,Joseph Stalin   Kirill Meretskov   Kliment Voroshilov   Semyon Timoshenko [F 1],,"30 November 1939 – 13 March 1940(3 months, 1 week and 6 days)",Eastern Finland,Moscow Peace Treaty(See Aftermath),"300,000–340,000 soldiers [F 2] 32 tanks [F 3] 114 aircraft [F 4]","425,000–760,000 soldiers [F 5]  2,514–6,541 tanks [F 6] 3,880 aircraft [14]",,,"Cession of the Gulf of Finland islands, Karelian Isthmus, Ladoga Karelia, Salla, and Rybachy Peninsula, and lease of Hanko to the Soviet Union",1,Soviet invasion of Finland,Eastern Front,November 1939 – March 1940,https://en.wikipedia.org/wiki/Winter_War
Germany,Soviet Union,,"429 dead, 668 wounded [4]","more than 2,000 dead [5] about 6,800 captured [6]",,,Fritz Schlieper,Pyotr Gavrilov   ( POW )   Ivan Zubachyov   ( POW )   Andrej Kižavataŭ   †   Yefim Fomin   [1] [2],,22–29 June 1941,"Brest, Belarusian SSR, Soviet Union (Nominally part of Poland until 1945, from 1945 part of the Soviet Union)",German victory,"about 17,000, 2 Panzer Divisions","over 9,000, 2  T-26  Cavalry Tanks,  BA-20  Bobik [3]",,,,100,Defense of Brest Fortress,Axis invasion of the Soviet Union,June 1941,https://en.wikipedia.org/wiki/Defense_of_Brest_Fortress
Germany,Soviet Union,,"(Incomplete) 12,157 men [2] 101 tanks destroyed [3] 276 aircraft destroyed","417,729 men
 
 341,073 killed or captured [4] [1] [5] 
 76,717 wounded [1] [4] 
4,799 tanks destroyed [1] 9,427 guns and mortars lost [4] [1] 1,177–1,669 aircraft destroyed [1] [6]",,,Fedor von Bock Hermann Hoth Günther von Kluge Heinz Guderian,Dmitry Pavlov   Vladimir Klimovskikh   Ivan Boldin,,22 June – 9 July 1941,"Byelorussian Soviet Socialist Republic, Soviet Union",Decisive German victory,"750,000 men 1,936 tanks","671,165 men [1] 4,522 tanks 14,171 guns and mortars [1]",,,,100,Battle of Białystok-Minsk,Axis invasion of the Soviet Union,June 1941,https://en.wikipedia.org/wiki/Battle_of_Bia%C5%82ystok-Minsk
Germany,Soviet Union,,,,,,,,,22 June 1941,"Petsamo, Finland",German victory,,,,"27,500 men [1]",,100,Operation Rentier,Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Operation_Rentier
Germany,Soviet Union,,unknown,"75,202 killed 13,284 wounded 2,523 tanks & SPGs destroyed [2] 990 aircraft destroyed [2] Total : 88,486 casualties [1]",,,Wilhelm Ritter von Leeb,Fyodor Isodorovich Kuznetsov,,22 June – 9 July 1941,"Baltic Countries, USSR","German victory

Successful German Offensive","655,000 1,389 tanks 7,673 artillery pieces 1,070 aircraft","498,000 [1] 1,393 tanks 5,573 artillery pieces 1,210 aircraft",,,,100,Baltic Operation,Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Baltic_Operation
Germany,Soviet Union,,Unknown,704 tanks (crewmen either killed or captured) [3],,,Georg-Hans Reinhardt,"Fyodor Kuznetsov 
 Alexey Kurkin 
 Yegor Solyankin   †",,23–27 June 1941,"Raseiniai, Lithuania",German victory,235–245 tanks [1] [2] [f],749 tanks [3],,,,100,Battle of Raseiniai,Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Battle_of_Raseiniai
Germany,Soviet Union,,Only against  8th Mech. Corps :  ~ 200 tanks lost [3],Heavy: Forces rendered non-operational   8th Mech. Corps:  ~ 800 tanks lost [3],,,Paul Ludwig Ewald von Kleist       Hyazinth Graf Strachwitz,Mikhail Kirponos       Maksim Purkayev      Ivan Muzichenko     Mikhail Potapov,,23–30 June 1941,"Brody, Ukrainian SSR, Soviet Union",German victory,750 tanks [1] [2],"3,500 tanks [1]",,,,100,Battle of Brody (1941),Axis invasion of the Soviet Union,June 1941,https://en.wikipedia.org/wiki/Battle_of_Brody_(1941)
"Finland   Germany 
 
 
   Italy [Note 1]","Soviet Union 
 
   United Kingdom [Note 2]",,"Finnish 
 63,200 dead or missing [12] [13] 
 158,000 wounded [12] 
 2,370–3,500  captured [14] 
 225,000 total casualties 
 Not including civilian casualties 
 
 
 German 
 23,200 dead or missing 
 60,400 wounded 
 84,000 total casualties [13] 
 Not including civilian casualties","Soviet 
 250,000–305,000 dead or missing [10] [12] [13] 
 575,000 medical casualties (including 385,000 wounded and 190,000 sick) [10] [12] 
 64,000  captured [15] 
 890,000–944,000 total casualties 
 Not including civilian casualties, such as  Siege of Leningrad",,,"C.G.E. Mannerheim 
   Erik Heinrichs 
   Aksel Airo 
   Lennart Oesch 
   Nikolaus von Falkenhorst 
   Eduard Dietl 
   Lothar Rendulic","Markian Popov 
  Trifon Shevaldin 
   Leonid Govorov 
   Mikhail Hozin 
   Valerian A. Frolov 
   Kirill Meretskov",,"25 June 1941 – 19 September 1944 (3 years, 2 months, 3 weeks and 4 days)","Finland, Karelia, and Murmansk area","Soviet victory[5][6][7]

Moscow Armistice","450,000–700,000 Finns [Note 3] 67,000–214,000 Germans [Note 4] 2,000  Estonian volunteers 1,000  Swedish volunteers","450,000–650,000 Soviets [Note 5]",,,Concession of Petsamo and lease of Porkkala Peninsula to the Soviet Union,100,Continuation War,Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Continuation_War
Germany   Finland,Soviet Union   United Kingdom [note],,"21,501 Germans 5,000 Finns [2]",unknown,,,Nikolaus von Falkenhorst   Eduard Dietl   Hans Feige   Hjalmar Siilasvuo,Markian Popov     Valerian Frolov [note]   Roman Panin,,29 June – 17 November 1941,"Arctic, Lapland, Northern Russia68°58′N 33°05′E﻿ / ﻿68.967°N 33.083°E﻿ / 68.967; 33.083Coordinates: 68°58′N 33°05′E﻿ / ﻿68.967°N 33.083°E﻿ / 68.967; 33.083",Soviet victory,,,,,,100,Operation Silver Fox,Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Operation_Silver_Fox
Germany   Finland,Soviet Union,,"10,300 overall [4]",Unknown,,,Eduard Dietl,Valerian A. Frolov,,29 June – 21 September 1941,"Petsamo, Litsa River, Rybachy Peninsula",Soviet victory,"2nd Mountain Division 3rd Mountain Division 2 additional SS regiments [1] Finnish 14th Infantry Regiment [2] Finnish  Ivalo  Border Guard Battalion 27,500 men (initially) [3]",14th Rifle Division 52nd Rifle Division Polyarny Division [note] Soviet Northern Fleet,,,,100,Operation Platinum Fox,Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Operation_Platinum_Fox
Germany   Finland,Soviet Union,,"XXXVI Corps: 9,463 men [2]  III Corps: unknown [note]",Heavy casualties,,,Hans Feige   Hjalmar Siilasvuo,Markian Popov       Valerian A. Frolov   Roman Panin [1],,1 July 1941 – 17 November 1941,"Salla, Kestenga, Alakurtti, Verman River",Stalemate,"XXXVI Corps 
 169th Infantry Division 
 SS-Division  Nord  (mot.) 
 Finnish 6th Division 
 Panzer-Abteilung 211 
   III Corps 
 Finnish 3rd Division 
 Panzer-Abteilung 40","14th Army 
 104th Rifle Division 
 122nd Rifle Division 
 1st Tank Division 
 88th Rifle Division  (reinforcements) 
 Grivnik brigade [1] (reinforcements) 
 1st Polar Rifle Division [note] 
   7th Army 
 54th Rifle Division",,,,100,Operation Arctic Fox,Axis invasion of the Soviet Union,July–November 1941,https://en.wikipedia.org/wiki/Operation_Arctic_Fox
Germany,Soviet Union,,"135,659 men (21 July – 10 September) [6] 
 
 29,650 killed 
 100,327 wounded 
 5,682 missing 
214 tanks destroyed [4]","759,947 men [5] 
 
 186,144 killed 
 273,803 wounded 
 300,000 captured [7] [8] 
1,348–3,273 tanks and SPGs destroyed [9] [a] 903 aircraft destroyed [10]",,,Fedor von Bock   Maximilian von Weichs   Hermann Hoth   Heinz Guderian,Semyon Timoshenko Fyodor Kuznetsov   Andrei Yeremenko   Ivan Gorbachyov   †,,"8 July – 31 July 1941(German historiography)[1]:267
10 July – 10 September 1941 (Soviet historiography)[2][1]:267","Smolensk (Russian SFSR) and surroundings, Soviet UnionCoordinates: 54°46′58″N 32°02′43″E﻿ / ﻿54.78278°N 32.04528°E﻿ / 54.78278; 32.04528",German victory,"430,000 men 1,000–1,780 tanks [3] [4]    1,500 aircraft [3]","10 July: 581,600 men [5]    1,545 tanks [b]",,,,100,Battle of Smolensk (1941),Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Battle_of_Smolensk_(1941)
Germany   Romania   Hungary   Slovakia,Soviet Union,,"Total: 20,853 [a] Killed: 4,610  Wounded: 15,458  Captured or Missing: 785","Total: 203,000   Killed or wounded: 100,000  Captured: 103,000  Captured or Destroyed: 317 tanks",,,Field Marshal   Gerd von Rundstedt   Colonel General   Carl-Heinrich von Stülpnagel,Marshal   Semyon Budyonny   Colonel General   Mikhail Kirponos   General   Ivan Tyulenev,,15 July–8 August 1941,"Uman, Western Ukraine",Axis victory,"400,000  600 tanks","300,000  317 tanks and 858 guns",,,,100,Battle of Uman,Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Battle_of_Uman
,,,,,,,,,,,,,,,,,,100,Pripyat swamps (punitive operation),Axis invasion of the Soviet Union,,https://en.wikipedia.org/wiki/Pripyat_swamps_(punitive_operation)
