,address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
18,,NYPD,New York City Police Department,3050460054,BROOKLYN,BROOKLYN,,09 BROOKLYN,Noise - Residential,2019-07-24T00:07:14.000,HAWTHORNE STREET,WINTHROP STREET,Banging/Pounding,,594 ROGERS AVENUE,11225,HAWTHORNE STREET,WINTHROP STREET,ROGERS AVENUE,40.65724247848545,"{'type': 'Point', 'coordinates': [-73.953185816917, 40.657242478485]}",Residential Building/House,-73.95318581691672,ONLINE,BROOKLYN,Unspecified,,,In Progress,ROGERS AVENUE,,43357780,997239,178731
19,,NYPD,New York City Police Department,2030220031,BRONX,BRONX,,05 BRONX,Noise - Street/Sidewalk,2019-07-24T00:07:48.000,EAST  184 STREET,EAST  187 STREET,Loud Music/Party,,2405 MARION AVENUE,10458,EAST  184 STREET,EAST  187 STREET,MARION AVENUE,40.85896212835518,"{'type': 'Point', 'coordinates': [-73.895083359188, 40.858962128355]}",Street/Sidewalk,-73.8950833591879,PHONE,BRONX,Unspecified,,,In Progress,MARION AVENUE,,43361009,1013272,252238
20,,NYPD,New York City Police Department,3050260085,BROOKLYN,BROOKLYN,,09 BROOKLYN,Noise - Residential,2019-07-24T00:07:59.000,DEAD END,FLATBUSH AVENUE,Loud Music/Party,,2100 BEEKMAN PLACE,11225,DEAD END,FLATBUSH AVENUE,BEEKMAN PLACE,40.659998407531084,"{'type': 'Point', 'coordinates': [-73.960997983209, 40.659998407531]}",Residential Building/House,-73.96099798320904,ONLINE,BROOKLYN,Unspecified,,,In Progress,BEEKMAN PLACE,,43359464,995071,179734
21,,NYPD,New York City Police Department,4031100050,QUEENS,REGO PARK,,06 QUEENS,Illegal Parking,2019-07-24T00:08:00.000,63 AVENUE,63 DRIVE,Blocked Hydrant,,63-35 BOURTON STREET,11374,63 AVENUE,63 DRIVE,BOURTON STREET,40.72531940604121,"{'type': 'Point', 'coordinates': [-73.86685327004, 40.725319406041]}",Street/Sidewalk,-73.86685327003985,ONLINE,QUEENS,Unspecified,,,In Progress,BOURTON STREET,,43355799,1021155,203558
22,,NYPD,New York City Police Department,3065980019,BROOKLYN,BROOKLYN,2019-07-24T01:11:29.000,11 BROOKLYN,Blocked Driveway,2019-07-24T00:10:30.000,AVENUE O,AVENUE P,No Access,,1534 WEST    8 STREET,11204,AVENUE O,AVENUE P,WEST    8 STREET,40.609565389506095,"{'type': 'Point', 'coordinates': [-73.981956151603, 40.609565389506]}",Street/Sidewalk,-73.98195615160283,PHONE,BROOKLYN,Unspecified,2019-07-24T05:11:31.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WEST    8 STREET,,43361854,989260,161358
23,ADDRESS,DHS,Department of Homeless Services,1008010034,MANHATTAN,NEW YORK,2019-07-24T02:05:14.000,04 MANHATTAN,Homeless Person Assistance,2019-07-24T00:10:55.000,WEST 25 STREET,WEST 26 STREET,N/A,,769 6 AVENUE,10010,WEST   25 STREET,WEST   26 STREET,AVENUE OF THE AMERICAS,40.74461758965148,"{'type': 'Point', 'coordinates': [-73.991566077189, 40.744617589651]}",N/A,-73.99156607718896,MOBILE,MANHATTAN,Unspecified,2019-07-24T02:05:14.000,The mobile outreach response team went to the location provided but could not find the individual that you reported.,Closed,6 AVENUE,,43363992,986587,210561
24,ADDRESS,DOT,Department of Transportation,,MANHATTAN,,,Unspecified MANHATTAN,Street Light Condition,2019-07-24T00:11:00.000,1 AVE,YORK AVE,Street Light Out,,407 87 ST E,,,,,,,,,UNKNOWN,MANHATTAN,Unspecified,,,Open,87 ST E,,43360674,,
25,,NYPD,New York City Police Department,2043170040,BRONX,BRONX,2019-07-24T00:44:32.000,11 BRONX,Noise - Street/Sidewalk,2019-07-24T00:11:18.000,LYDIG AVENUE,PELHAM PARKWAY SOUTH,Loud Music/Party,,2185 BOLTON STREET,10462,LYDIG AVENUE,PELHAM PARKWAY SOUTH,BOLTON STREET,40.85589943998398,"{'type': 'Point', 'coordinates': [-73.868666822749, 40.855899439984]}",Street/Sidewalk,-73.86866682274923,MOBILE,BRONX,Unspecified,2019-07-24T04:44:38.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,BOLTON STREET,,43364382,1020581,251132
26,,NYPD,New York City Police Department,4096680027,QUEENS,JAMAICA,,08 QUEENS,Noise - Residential,2019-07-24T00:12:46.000,135 STREET,138 STREET,Loud Music/Party,,135-25 HOOVER AVENUE,11435,135 STREET,138 STREET,HOOVER AVENUE,40.7136928466228,"{'type': 'Point', 'coordinates': [-73.822313163505, 40.713692846623]}",Residential Building/House,-73.82231316350537,PHONE,QUEENS,Unspecified,2019-07-24T04:18:59.000,Your complaint has been received by the Police Department and additional information will be availab,In Progress,HOOVER AVENUE,,43356608,1033509,199344
27,,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,,03 MANHATTAN,Noise - Street/Sidewalk,2019-07-24T00:13:18.000,COLUMBIA STREET,EAST    3 STREET,Loud Music/Party,,3 AVENUE D,10009,COLUMBIA STREET,EAST    3 STREET,AVENUE D,40.72010251610345,"{'type': 'Point', 'coordinates': [-73.978646971682, 40.720102516103]}",Street/Sidewalk,-73.97864697168207,MOBILE,MANHATTAN,Unspecified,,,In Progress,AVENUE D,,43360561,990169,201630
28,,NYPD,New York City Police Department,3008730006,BROOKLYN,BROOKLYN,2019-07-24T00:47:08.000,07 BROOKLYN,Noise - Commercial,2019-07-24T00:13:41.000,17 STREET,18 STREET,Loud Talking,,627 5 AVENUE,11215,17 STREET,18 STREET,5 AVENUE,40.66335332312527,"{'type': 'Point', 'coordinates': [-73.991324039085, 40.663353323125]}",Club/Bar/Restaurant,-73.99132403908514,PHONE,BROOKLYN,Unspecified,2019-07-24T04:47:12.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,5 AVENUE,,43358237,986657,180954
29,,NYPD,New York City Police Department,3009230056,BROOKLYN,BROOKLYN,,12 BROOKLYN,Noise - Residential,2019-07-24T00:16:24.000,8 AVENUE,9 AVENUE,Banging/Pounding,,849 42 STREET,11232,8 AVENUE,9 AVENUE,42 STREET,40.6449471267718,"{'type': 'Point', 'coordinates': [-73.997953225437, 40.644947126772]}",Residential Building/House,-73.99795322543724,PHONE,BROOKLYN,Unspecified,2019-07-24T04:43:24.000,Your complaint has been received by the Police Department and additional information will be availab,In Progress,42 STREET,,43364434,984818,174248
30,,NYPD,New York City Police Department,3033150001,BROOKLYN,BROOKLYN,2019-07-24T00:45:21.000,04 BROOKLYN,Noise - Residential,2019-07-24T00:17:36.000,CENTRAL AVENUE,WILSON AVENUE,Loud Talking,,120 MENAHAN STREET,11221,CENTRAL AVENUE,WILSON AVENUE,MENAHAN STREET,40.695464186095855,"{'type': 'Point', 'coordinates': [-73.919696978866, 40.695464186096]}",Residential Building/House,-73.91969697886626,PHONE,BROOKLYN,Unspecified,2019-07-24T04:45:25.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,MENAHAN STREET,,43356062,1006518,192663
31,,DOT,Department of Transportation,,BRONX,,,03 BRONX,Street Sign - Dangling,2019-07-24T00:18:24.000,EAST  174 STREET,WASHINGTON AVENUE,"No Parking, Standing, Stopping",,EAST  174 STREET,10457,EAST  174 STREET,WASHINGTON AVENUE,,40.842989853876304,"{'type': 'Point', 'coordinates': [-73.900334692149, 40.842989853876]}",Street,-73.90033469214936,PHONE,BRONX,Unspecified,,,In Progress,EAST  174 STREET,,43355314,1011826,246417
32,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,BROOKLYN,,09 BROOKLYN,Traffic Signal Condition,2019-07-24T00:19:00.000,,,Controller,N/A,,11225,ROGERS AVENUE,HAWTHORNE STREET,,40.657659698267935,"{'type': 'Point', 'coordinates': [-73.953217961604, 40.657659698268]}",,-73.95321796160368,UNKNOWN,BROOKLYN,Unspecified,,,Open,,,43363187,997230,178883
33,INTERSECTION,DOT,Department of Transportation,,MANHATTAN,,,Unspecified MANHATTAN,Traffic Signal Condition,2019-07-24T00:19:00.000,,,Controller,N/A,,,ST NICHOLAS AVE,192 ST W,,,,,,UNKNOWN,MANHATTAN,Unspecified,,,Open,,,43359745,,
34,,NYPD,New York City Police Department,1007230015,MANHATTAN,NEW YORK,,04 MANHATTAN,Noise - Street/Sidewalk,2019-07-24T00:19:19.000,9 AVENUE,10 AVENUE,Loud Music/Party,,415 WEST   25 STREET,10001,9 AVENUE,10 AVENUE,WEST   25 STREET,40.74804883018668,"{'type': 'Point', 'coordinates': [-74.001035798251, 40.748048830187]}",Street/Sidewalk,-74.00103579825134,MOBILE,MANHATTAN,Unspecified,,,In Progress,WEST   25 STREET,,43359449,983963,211811
35,,NYPD,New York City Police Department,4024850039,QUEENS,WOODSIDE,,05 QUEENS,Blocked Driveway,2019-07-24T00:19:39.000,72 PLACE,74 STREET,Partial Access,,72-96 CALAMUS AVENUE,11377,72 PLACE,74 STREET,CALAMUS AVENUE,40.734540259621035,"{'type': 'Point', 'coordinates': [-73.888679644316, 40.734540259621]}",Street/Sidewalk,-73.88867964431594,ONLINE,QUEENS,Unspecified,,,In Progress,CALAMUS AVENUE,,43356840,1015101,206909
36,,NYPD,New York City Police Department,4092290008,QUEENS,RICHMOND HILL,,09 QUEENS,Abandoned Vehicle,2019-07-24T00:20:25.000,115 STREET,116 STREET,With License Plate,,115-24 MYRTLE AVENUE,11418,115 STREET,116 STREET,MYRTLE AVENUE,40.700302861752384,"{'type': 'Point', 'coordinates': [-73.83453152516, 40.700302861752]}",Street/Sidewalk,-73.8345315251598,MOBILE,QUEENS,Unspecified,,,In Progress,MYRTLE AVENUE,,43364253,1030131,194459
37,,NYPD,New York City Police Department,3073080063,BROOKLYN,BROOKLYN,,15 BROOKLYN,Noise - Residential,2019-07-24T00:20:49.000,AVENUE S,AVENUE T,Loud Talking,,1961 EAST   29 STREET,11229,AVENUE S,AVENUE T,EAST   29 STREET,40.60348690737637,"{'type': 'Point', 'coordinates': [-73.943474954645, 40.603486907376]}",Residential Building/House,-73.94347495464471,ONLINE,BROOKLYN,Unspecified,,,In Progress,EAST   29 STREET,,43364637,999946,159148
38,,NYPD,New York City Police Department,1020360005,MANHATTAN,NEW YORK,2019-07-24T01:57:46.000,10 MANHATTAN,Noise - Street/Sidewalk,2019-07-24T00:20:50.000,FREDERICK DOUGLASS BOULEVARD,WEST  151 STREET,Loud Music/Party,,28 MACOMBS PLACE,10039,FREDERICK DOUGLASS BOULEVARD,WEST  151 STREET,MACOMBS PLACE,40.82617784562137,"{'type': 'Point', 'coordinates': [-73.938758330547, 40.826177845621]}",Street/Sidewalk,-73.93875833054713,ONLINE,MANHATTAN,Unspecified,2019-07-24T05:57:51.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,MACOMBS PLACE,,43364628,1001199,240282
39,,NYPD,New York City Police Department,,BROOKLYN,BROOKLYN,,09 BROOKLYN,Noise - Residential,2019-07-24T00:21:44.000,DEAD END,FLATBUSH AVENUE,Loud Music/Party,,2112 BEEKMAN PLACE,11225,DEAD END,FLATBUSH AVENUE,BEEKMAN PLACE,40.66000386405235,"{'type': 'Point', 'coordinates': [-73.960900664188, 40.660003864052]}",Residential Building/House,-73.96090066418759,ONLINE,BROOKLYN,Unspecified,,,In Progress,BEEKMAN PLACE,,43359542,995098,179736
40,,NYPD,New York City Police Department,1011540101,MANHATTAN,NEW YORK,,07 MANHATTAN,Noise - Residential,2019-07-24T00:21:49.000,WEST   62 STREET,WEST   64 STREET,Banging/Pounding,,60 AMSTERDAM AVENUE,10023,WEST   62 STREET,WEST   64 STREET,AMSTERDAM AVENUE,40.77241034876891,"{'type': 'Point', 'coordinates': [-73.986168659467, 40.772410348769]}",Residential Building/House,-73.98616865946714,PHONE,MANHATTAN,Unspecified,,,In Progress,AMSTERDAM AVENUE,,43356274,988081,220687
41,,NYPD,New York City Police Department,3041540012,BROOKLYN,BROOKLYN,2019-07-24T01:38:09.000,05 BROOKLYN,Illegal Parking,2019-07-24T00:22:06.000,ATLANTIC AVENUE,LIBERTY AVENUE,Blocked Hydrant,,325 LOGAN STREET,11208,ATLANTIC AVENUE,LIBERTY AVENUE,LOGAN STREET,40.67840895376577,"{'type': 'Point', 'coordinates': [-73.877070577344, 40.678408953766]}",Street/Sidewalk,-73.8770705773437,MOBILE,BROOKLYN,Unspecified,2019-07-24T05:38:17.000,The Police Department issued a summons in response to the complaint.,Closed,LOGAN STREET,,43359450,1018347,186463
42,,NYPD,New York City Police Department,2022800069,BRONX,BRONX,,01 BRONX,Noise - Street/Sidewalk,2019-07-24T00:22:18.000,WILLIS AVENUE BRIDGE BIKE PATH,MAJOR DEEGAN EXPWY ET    2 NB,Loud Talking,,423 EAST  135 STREET,10454,WILLIS AVENUE BRIDGE BIKE PATH,MAJOR DEEGAN EXPWY ET    2 NB,EAST  135 STREET,40.80684588495222,"{'type': 'Point', 'coordinates': [-73.923478271419, 40.806845884952]}",Street/Sidewalk,-73.92347827141927,PHONE,BRONX,Unspecified,,,In Progress,EAST  135 STREET,,43363684,1005434,233242
43,,NYPD,New York City Police Department,1019880118,MANHATTAN,NEW YORK,,09 MANHATTAN,Noise - Vehicle,2019-07-24T00:22:29.000,AMSTERDAM AVENUE,BROADWAY,Car/Truck Music,,514 WEST  136 STREET,10031,AMSTERDAM AVENUE,BROADWAY,WEST  136 STREET,40.82003081301524,"{'type': 'Point', 'coordinates': [-73.952850909447, 40.820030813015]}",Street/Sidewalk,-73.952850909447,ONLINE,MANHATTAN,Unspecified,,,In Progress,WEST  136 STREET,,43355010,997300,238040
44,,NYPD,New York City Police Department,1006440051,MANHATTAN,NEW YORK,,02 MANHATTAN,Noise - Commercial,2019-07-24T00:22:39.000,9 AVENUE,WASHINGTON STREET,Loud Music/Party,,10 LITTLE WEST   12 STREET,10014,9 AVENUE,WASHINGTON STREET,LITTLE WEST   12 STREET,40.73981712855611,"{'type': 'Point', 'coordinates': [-74.006802224671, 40.739817128556]}",Club/Bar/Restaurant,-74.00680222467082,ONLINE,MANHATTAN,Unspecified,,,In Progress,LITTLE WEST   12 STREET,,43363045,982365,208812
45,,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,,03 MANHATTAN,Noise - Street/Sidewalk,2019-07-24T00:22:58.000,COLUMBIA STREET,EAST    3 STREET,Loud Music/Party,,3 AVENUE D,10009,COLUMBIA STREET,EAST    3 STREET,AVENUE D,40.72010251610345,"{'type': 'Point', 'coordinates': [-73.978646971682, 40.720102516103]}",Street/Sidewalk,-73.97864697168207,MOBILE,MANHATTAN,Unspecified,,,In Progress,AVENUE D,,43363580,990169,201630
46,,NYPD,New York City Police Department,1003550001,MANHATTAN,NEW YORK,2019-07-24T01:38:48.000,03 MANHATTAN,Noise - Street/Sidewalk,2019-07-24T00:23:10.000,STANTON STREET,AVENUE A,Loud Talking,,166 ESSEX STREET,10002,STANTON STREET,AVENUE A,ESSEX STREET,40.721539230903865,"{'type': 'Point', 'coordinates': [-73.986648207306, 40.721539230904]}",Street/Sidewalk,-73.98664820730578,MOBILE,MANHATTAN,Unspecified,2019-07-24T05:38:50.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,ESSEX STREET,,43355171,987951,202153
47,,NYPD,New York City Police Department,4026470004,QUEENS,MASPETH,,05 QUEENS,Illegal Parking,2019-07-24T00:24:00.000,BEND,60 STREET,Blocked Hydrant,,56-11 62 AVENUE,11378,BEND,60 STREET,62 AVENUE,40.71360263196906,"{'type': 'Point', 'coordinates': [-73.906519704997, 40.713602631969]}",Street/Sidewalk,-73.90651970499735,ONLINE,QUEENS,Unspecified,,,In Progress,62 AVENUE,,43358667,1010165,199275
48,,NYPD,New York City Police Department,4094510078,QUEENS,SOUTH RICHMOND HILL,,09 QUEENS,Illegal Parking,2019-07-24T00:24:06.000,95 AVENUE,101 AVENUE,Posted Parking Sign Violation,,95-33 116 STREET,11419,95 AVENUE,101 AVENUE,116 STREET,40.691292676336985,"{'type': 'Point', 'coordinates': [-73.829509108672, 40.691292676337]}",Street/Sidewalk,-73.82950910867217,ONLINE,QUEENS,Unspecified,,,In Progress,116 STREET,,43359475,1031530,191179
49,,NYPD,New York City Police Department,4089640049,QUEENS,WOODHAVEN,,09 QUEENS,Blocked Driveway,2019-07-24T00:24:20.000,80 STREET,84 STREET,No Access,,80-19 90 ROAD,11421,80 STREET,84 STREET,90 ROAD,40.68746389087785,"{'type': 'Point', 'coordinates': [-73.860175236953, 40.687463890878]}",,-73.8601752369532,PHONE,QUEENS,Unspecified,,,In Progress,90 ROAD,,43360071,1023028,189769
50,,NYPD,New York City Police Department,,BRONX,,,02 BRONX,Noise - Residential,2019-07-24T00:24:41.000,FAILE STREET,SENECA AVENUE,Loud Music/Party,,FAILE STREET,10474,FAILE STREET,SENECA AVENUE,,40.81884937906388,"{'type': 'Point', 'coordinates': [-73.887624551073, 40.818849379064]}",Residential Building/House,-73.88762455107303,PHONE,BRONX,Unspecified,,,In Progress,FAILE STREET,,43364383,1015354,237626
51,,NYPD,New York City Police Department,3050260085,BROOKLYN,BROOKLYN,,09 BROOKLYN,Noise - Street/Sidewalk,2019-07-24T00:24:48.000,DEAD END,FLATBUSH AVENUE,Loud Music/Party,,2100 BEEKMAN PLACE,11225,DEAD END,FLATBUSH AVENUE,BEEKMAN PLACE,40.659998407531084,"{'type': 'Point', 'coordinates': [-73.960997983209, 40.659998407531]}",Street/Sidewalk,-73.96099798320904,ONLINE,BROOKLYN,Unspecified,,,In Progress,BEEKMAN PLACE,,43356827,995071,179734
