date,boro,cause_1,cause_10,cause_11,cause_12,cause_13,cause_14,cause_15,cause_2,cause_3,cause_4,cause_5,cause_6,cause_7,cause_8,cause_9,complaints,events_1,events_10,events_11,events_12,events_13,events_14,events_15,events_2,events_3,events_4,events_5,events_6,events_7,events_8,events_9
2019-01-02,QUEENS,Request Large Bulky Item Collection,Building/Use,Sewer,General Construction/Plumbing,Sanitation Condition,Dirty Conditions,Water System,Illegal Parking,HEAT/HOT WATER,Blocked Driveway,Street Condition,Noise - Residential,Derelict Vehicle,Street Light Condition,UNSANITARY CONDITION,"(1887,)",236,47.0,45.0,43.0,43.0,38.0,35.0,153,153.0,128.0,82.0,78.0,67.0,52.0,47.0
2019-01-02,STATEN ISLAND,Water System,Derelict Vehicle,Sanitation Condition,Noise - Residential,Sidewalk Condition,Street Light Condition,Root/Sewer/Sidewalk Condition,Request Large Bulky Item Collection,Electronics Waste,Street Condition,Dirty Conditions,Illegal Parking,Sewer,Blocked Driveway,Noise,"(649,)",180,15.0,14.0,13.0,11.0,10.0,8.0,52,52.0,48.0,24.0,24.0,19.0,18.0,16.0
2019-01-02,Unspecified,Benefit Card Replacement,For Hire Vehicle Complaint,Street Condition,Consumer Complaint,Maintenance or Facility,Broken Parking Meter,SCRIE,Highway Condition,DOF Parking - Payment Issue,HPD Literature Request,Question,Taxi Complaint,DCA / DOH New License Application Request,Forms,Ferry Inquiry,"(148,)",54,2.0,2.0,2.0,2.0,2.0,2.0,24,14.0,9.0,6.0,4.0,4.0,4.0,3.0
2019-01-03,NYC,HEAT/HOT WATER,Noise,General Construction/Plumbing,PLUMBING,Derelict Vehicle,Water System,Missed Collection (All Materials),Request Large Bulky Item Collection,Illegal Parking,Blocked Driveway,Noise - Residential,Street Condition,UNSANITARY CONDITION,PAINT/PLASTER,Street Light Condition,"(7844,)",812,202.0,184.0,182.0,175.0,161.0,156.0,570,486.0,415.0,354.0,317.0,299.0,215.0,202.0
2019-01-03,BRONX,HEAT/HOT WATER,DOOR/WINDOW,Request Large Bulky Item Collection,FLOORING/STAIRS,Derelict Vehicle,GENERAL,Sanitation Condition,UNSANITARY CONDITION,Noise - Residential,PAINT/PLASTER,Blocked Driveway,PLUMBING,Illegal Parking,WATER LEAK,Street Condition,"(1452,)",270,39.0,38.0,30.0,26.0,22.0,22.0,110,99.0,87.0,73.0,72.0,58.0,51.0,43.0
2019-01-03,BROOKLYN,HEAT/HOT WATER,General Construction/Plumbing,PAINT/PLASTER,Electronics Waste,Missed Collection (All Materials),PLUMBING,Sanitation Condition,Request Large Bulky Item Collection,Illegal Parking,Blocked Driveway,Noise - Residential,Street Condition,Derelict Vehicles,Street Light Condition,UNSANITARY CONDITION,"(2542,)",238,71.0,66.0,64.0,55.0,54.0,53.0,214,181.0,175.0,103.0,95.0,84.0,82.0,81.0
2019-01-03,MANHATTAN,HEAT/HOT WATER,Noise - Commercial,GENERAL,PLUMBING,General Construction/Plumbing,WATER LEAK,Dirty Conditions,Noise,Noise - Residential,Illegal Parking,UNSANITARY CONDITION,Street Condition,Request Large Bulky Item Collection,PAINT/PLASTER,Noise - Street/Sidewalk,"(1422,)",167,38.0,35.0,35.0,34.0,31.0,29.0,94,88.0,66.0,58.0,49.0,47.0,42.0,38.0
2019-01-03,QUEENS,Request Large Bulky Item Collection,Water System,Sanitation Condition,Missed Collection (All Materials),UNSANITARY CONDITION,Dirty Conditions,Derelict Vehicles,Illegal Parking,Blocked Driveway,HEAT/HOT WATER,Derelict Vehicle,Street Condition,Street Light Condition,Noise - Residential,General Construction/Plumbing,"(1803,)",222,42.0,42.0,39.0,38.0,34.0,33.0,149,142.0,129.0,81.0,77.0,74.0,52.0,47.0
2019-01-03,STATEN ISLAND,Electronics Waste,Sanitation Condition,Derelict Vehicle,General Construction/Plumbing,Noise - Residential,Sewer,Blocked Driveway,Street Condition,Request Large Bulky Item Collection,Illegal Parking,Missed Collection (All Materials),Water System,Noise,Street Light Condition,DOF Property - Payment Issue,"(493,)",63,14.0,13.0,13.0,12.0,12.0,12.0,52,49.0,32.0,29.0,27.0,17.0,17.0,16.0
2019-01-03,Unspecified,Benefit Card Replacement,Street Sign - Missing,Taxi Complaint,Street Sign - Damaged,School Maintenance,SCRIE,Consumer Complaint,HPD Literature Request,DOF Parking - Payment Issue,Question,Highway Condition,DCA / DOH New License Application Request,DOF Parking - Request Status,DOF Parking - Request Copy,Street Light Condition,"(132,)",58,2.0,2.0,2.0,2.0,2.0,2.0,13,10.0,6.0,6.0,4.0,4.0,3.0,3.0
2019-01-04,NYC,HEAT/HOT WATER,Noise,PAINT/PLASTER,PLUMBING,General Construction/Plumbing,Water System,Derelict Vehicles,Request Large Bulky Item Collection,Noise - Residential,Illegal Parking,Blocked Driveway,Street Light Condition,Street Condition,UNSANITARY CONDITION,Missed Collection (All Materials),"(7704,)",726,182.0,171.0,168.0,158.0,157.0,147.0,485,465.0,438.0,421.0,335.0,332.0,254.0,216.0
2019-01-04,BRONX,HEAT/HOT WATER,DOOR/WINDOW,WATER LEAK,FLOORING/STAIRS,Request Large Bulky Item Collection,ELECTRIC,Elevator,Noise - Residential,Street Light Condition,UNSANITARY CONDITION,Blocked Driveway,PAINT/PLASTER,Illegal Parking,Street Condition,PLUMBING,"(1475,)",241,55.0,48.0,33.0,31.0,25.0,24.0,142,111.0,88.0,71.0,66.0,64.0,58.0,56.0
2019-01-04,BROOKLYN,HEAT/HOT WATER,Sanitation Condition,Derelict Vehicles,Missed Collection (All Materials),PLUMBING,Noise - Commercial,Water System,Illegal Parking,Request Large Bulky Item Collection,Blocked Driveway,Noise - Residential,UNSANITARY CONDITION,Street Condition,General Construction/Plumbing,Street Light Condition,"(2413,)",243,63.0,61.0,57.0,55.0,52.0,51.0,176,172.0,166.0,114.0,90.0,84.0,67.0,63.0
2019-01-04,MANHATTAN,HEAT/HOT WATER,PAINT/PLASTER,WATER LEAK,Missed Collection (All Materials),General Construction/Plumbing,Illegal Parking,Noise - Commercial,Noise - Residential,Noise,Street Light Condition,Request Large Bulky Item Collection,UNSANITARY CONDITION,Street Condition,Noise - Street/Sidewalk,PLUMBING,"(1427,)",143,41.0,39.0,35.0,34.0,32.0,30.0,121,101.0,57.0,55.0,51.0,45.0,43.0,42.0
2019-01-04,QUEENS,Request Large Bulky Item Collection,Derelict Vehicle,Water System,Sewer,Building/Use,General Construction/Plumbing,Sanitation Condition,Blocked Driveway,Illegal Parking,Street Condition,HEAT/HOT WATER,Street Light Condition,Noise - Residential,Missed Collection (All Materials),Derelict Vehicles,"(1840,)",176,58.0,54.0,46.0,42.0,42.0,41.0,167,143.0,103.0,91.0,83.0,77.0,71.0,58.0
2019-01-04,STATEN ISLAND,Request Large Bulky Item Collection,Sanitation Condition,Sewer,Noise,Noise - Residential,HEAT/HOT WATER,Blocked Driveway,Electronics Waste,Street Condition,Missed Collection (All Materials),Illegal Parking,Dirty Conditions,Water System,Street Light Condition,Derelict Vehicle,"(425,)",51,11.0,11.0,10.0,10.0,8.0,8.0,40,38.0,35.0,23.0,16.0,15.0,15.0,12.0
2019-01-04,Unspecified,Benefit Card Replacement,DOF Parking - Request Copy,SCRIE,Street Sign - Damaged,Taxi Complaint,Maintenance or Facility,Animal in a Park,HPD Literature Request,DOF Parking - Payment Issue,Highway Condition,Street Light Condition,Question,Street Condition,Traffic Signal Condition,Forms,"(124,)",47,2.0,2.0,2.0,1.0,1.0,1.0,15,13.0,10.0,6.0,5.0,4.0,3.0,3.0
2019-01-05,NYC,Noise - Residential,UNSANITARY CONDITION,PAINT/PLASTER,Derelict Vehicle,Electronics Waste,Noise - Street/Sidewalk,PLUMBING,HEAT/HOT WATER,Blocked Driveway,Illegal Parking,Request Large Bulky Item Collection,Noise - Commercial,Street Condition,Noise,Missed Collection (All Materials),"(5160,)",677,122.0,103.0,93.0,93.0,92.0,87.0,552,387.0,382.0,369.0,175.0,174.0,171.0,154.0
2019-01-05,BRONX,Noise - Residential,Request Large Bulky Item Collection,GENERAL,Noise - Commercial,Street Condition,Missed Collection (All Materials),ELECTRIC,HEAT/HOT WATER,Blocked Driveway,Illegal Parking,WATER LEAK,UNSANITARY CONDITION,PAINT/PLASTER,PLUMBING,Noise - Street/Sidewalk,"(1085,)",240,23.0,22.0,19.0,16.0,14.0,14.0,228,76.0,54.0,45.0,40.0,38.0,37.0,26.0
2019-01-05,BROOKLYN,Noise - Residential,Electronics Waste,Noise,PAINT/PLASTER,PLUMBING,DOOR/WINDOW,Traffic Signal Condition,HEAT/HOT WATER,Illegal Parking,Request Large Bulky Item Collection,Blocked Driveway,UNSANITARY CONDITION,Missed Collection (All Materials),Noise - Commercial,Street Condition,"(1551,)",160,47.0,47.0,33.0,29.0,27.0,26.0,142,141.0,133.0,127.0,51.0,49.0,49.0,48.0
2019-01-05,MANHATTAN,Noise - Residential,UNSANITARY CONDITION,Broken Parking Meter,GENERAL,Homeless Person Assistance,Traffic Signal Condition,Noise - Vehicle,HEAT/HOT WATER,Noise - Commercial,Noise,Noise - Street/Sidewalk,Illegal Parking,Street Condition,PAINT/PLASTER,Request Large Bulky Item Collection,"(954,)",151,22.0,21.0,19.0,19.0,15.0,15.0,107,77.0,68.0,42.0,35.0,32.0,29.0,26.0
2019-01-05,QUEENS,Blocked Driveway,Sewer,Noise - Commercial,Derelict Vehicles,Water System,Dirty Conditions,Sanitation Condition,Request Large Bulky Item Collection,Illegal Parking,Noise - Residential,HEAT/HOT WATER,Street Condition,Missed Collection (All Materials),Derelict Vehicle,Noise,"(1247,)",172,34.0,29.0,26.0,24.0,20.0,18.0,149,141.0,103.0,71.0,56.0,43.0,42.0,39.0
2019-01-05,STATEN ISLAND,Request Large Bulky Item Collection,Sanitation Condition,Sewer,Blocked Driveway,PLUMBING,Building/Use,HEAT/HOT WATER,Missed Collection (All Materials),Electronics Waste,Noise - Residential,Street Condition,Derelict Vehicle,Noise,Dirty Conditions,Illegal Parking,"(292,)",38,11.0,8.0,7.0,6.0,5.0,4.0,38,30.0,23.0,20.0,15.0,13.0,12.0,11.0
2019-01-05,Unspecified,Benefit Card Replacement,,,,,,,HPD Literature Request,Highway Condition,Question,Street Condition,Taxi Compliment,Taxi Complaint,Housing Options,Maintenance or Facility,"(31,)",12,,,,,,,7,4.0,2.0,2.0,1.0,1.0,1.0,1.0
2019-01-06,NYC,Noise - Residential,UNSANITARY CONDITION,Noise,Noise - Street/Sidewalk,Sanitation Condition,Water System,WATER LEAK,HEAT/HOT WATER,Request Large Bulky Item Collection,Illegal Parking,Blocked Driveway,Street Condition,Noise - Commercial,Missed Collection (All Materials),Electronics Waste,"(5349,)",697,121.0,113.0,112.0,104.0,94.0,80.0,644,467.0,464.0,393.0,209.0,153.0,148.0,130.0
2019-01-06,BRONX,Noise - Residential,Missed Collection (All Materials),Rodent,Sanitation Condition,Street Condition,FLOORING/STAIRS,Noise - Commercial,HEAT/HOT WATER,Blocked Driveway,Illegal Parking,WATER LEAK,UNSANITARY CONDITION,Request Large Bulky Item Collection,PLUMBING,PAINT/PLASTER,"(1027,)",244,19.0,18.0,18.0,18.0,16.0,14.0,222,75.0,60.0,41.0,37.0,33.0,25.0,23.0
2019-01-06,BROOKLYN,HEAT/HOT WATER,Water System,Sanitation Condition,UNSANITARY CONDITION,Derelict Vehicles,Noise,Noise - Street/Sidewalk,Illegal Parking,Request Large Bulky Item Collection,Noise - Residential,Blocked Driveway,Electronics Waste,Missed Collection (All Materials),Street Condition,Noise - Commercial,"(1766,)",194,46.0,44.0,38.0,34.0,33.0,33.0,190,182.0,149.0,126.0,63.0,56.0,55.0,52.0
2019-01-06,MANHATTAN,Noise - Residential,Noise - Vehicle,Food Establishment,GENERAL,Rodent,Taxi Complaint,PAINT/PLASTER,HEAT/HOT WATER,Noise - Commercial,Request Large Bulky Item Collection,Noise - Street/Sidewalk,Noise,Street Condition,Illegal Parking,UNSANITARY CONDITION,"(968,)",196,21.0,16.0,15.0,14.0,14.0,13.0,136,59.0,56.0,55.0,45.0,41.0,38.0,27.0
2019-01-06,QUEENS,Blocked Driveway,Noise - Commercial,Electronics Waste,Noise - Vehicle,Sanitation Condition,Water System,Noise,Request Large Bulky Item Collection,Illegal Parking,Noise - Residential,HEAT/HOT WATER,Street Condition,Missed Collection (All Materials),Building/Use,Derelict Vehicle,"(1255,)",171,28.0,25.0,24.0,23.0,22.0,20.0,156,148.0,99.0,88.0,62.0,34.0,32.0,31.0
2019-01-06,STATEN ISLAND,Electronics Waste,Dirty Conditions,Sanitation Condition,Noise,HEAT/HOT WATER,General Construction/Plumbing,Sewer,Request Large Bulky Item Collection,Street Condition,Missed Collection (All Materials),Illegal Parking,Blocked Driveway,Water System,Derelict Vehicle,Noise - Residential,"(289,)",42,8.0,6.0,6.0,4.0,4.0,4.0,40,33.0,32.0,26.0,13.0,10.0,9.0,9.0
2019-01-06,Unspecified,Benefit Card Replacement,Traffic Signal Condition,Street Sign - Missing,Forms,Street Sign - Damaged,Ferry Inquiry,DCA / DOH New License Application Request,Highway Condition,Bridge Condition,HPD Literature Request,Illegal Parking,For Hire Vehicle Complaint,For Hire Vehicle Report,Derelict Vehicle,Maintenance or Facility,"(44,)",18,1.0,1.0,1.0,1.0,1.0,1.0,6,2.0,2.0,2.0,2.0,1.0,1.0,1.0
2019-01-07,NYC,HEAT/HOT WATER,PLUMBING,Noise,Electronics Waste,PAINT/PLASTER,General Construction/Plumbing,Water System,Request Large Bulky Item Collection,Illegal Parking,Graffiti,Noise - Residential,Blocked Driveway,Street Condition,UNSANITARY CONDITION,Street Light Condition,"(8621,)",1326,184.0,178.0,169.0,162.0,152.0,144.0,640,446.0,423.0,398.0,392.0,345.0,280.0,185.0
2019-01-07,BRONX,HEAT/HOT WATER,Street Condition,WATER LEAK,DOOR/WINDOW,GENERAL,Derelict Vehicle,Water System,Noise - Residential,UNSANITARY CONDITION,Graffiti,Blocked Driveway,PLUMBING,PAINT/PLASTER,Illegal Parking,Request Large Bulky Item Collection,"(1627,)",498,40.0,35.0,35.0,25.0,22.0,20.0,105,97.0,87.0,69.0,59.0,59.0,52.0,41.0
2019-01-07,BROOKLYN,HEAT/HOT WATER,Street Light Condition,General Construction/Plumbing,WATER LEAK,Traffic Signal Condition,PLUMBING,Derelict Vehicles,Request Large Bulky Item Collection,Graffiti,Illegal Parking,Blocked Driveway,UNSANITARY CONDITION,Noise - Residential,Street Condition,Electronics Waste,"(2864,)",353,71.0,59.0,57.0,55.0,55.0,50.0,251,230.0,202.0,147.0,101.0,91.0,86.0,77.0
2019-01-07,MANHATTAN,HEAT/HOT WATER,General Construction/Plumbing,Noise - Commercial,PAINT/PLASTER,WATER LEAK,GENERAL,DOOR/WINDOW,Noise - Residential,Graffiti,Noise,Request Large Bulky Item Collection,Street Condition,PLUMBING,UNSANITARY CONDITION,Illegal Parking,"(1530,)",303,35.0,34.0,32.0,31.0,28.0,25.0,107,93.0,75.0,63.0,57.0,48.0,44.0,40.0
2019-01-07,QUEENS,Request Large Bulky Item Collection,Sewer,Sanitation Condition,Derelict Vehicles,Building/Use,General Construction/Plumbing,Noise,Blocked Driveway,HEAT/HOT WATER,Illegal Parking,Street Condition,Noise - Residential,Street Light Condition,Derelict Vehicle,Water System,"(1991,)",230,41.0,40.0,40.0,37.0,37.0,35.0,164,159.0,135.0,108.0,87.0,68.0,65.0,54.0
2019-01-07,STATEN ISLAND,Electronics Waste,Dirty Conditions,DOF Property - Reduction Issue,Sanitation Condition,Sewer,Blocked Driveway,Water System,Request Large Bulky Item Collection,Street Condition,Street Light Condition,Illegal Parking,Missed Collection (All Materials),Noise,Derelict Vehicle,HEAT/HOT WATER,"(459,)",62,13.0,12.0,11.0,10.0,10.0,9.0,55,49.0,25.0,17.0,17.0,15.0,13.0,13.0
2019-01-07,Unspecified,Benefit Card Replacement,DCA / DOH New License Application Request,Traffic Signal Condition,Bridge Condition,Maintenance or Facility,Street Sign - Missing,Homeless Encampment,DOF Parking - Payment Issue,HPD Literature Request,Street Condition,Highway Condition,Question,Taxi Complaint,Forms,Tunnel Condition,"(150,)",51,3.0,3.0,3.0,2.0,2.0,2.0,33,15.0,5.0,5.0,4.0,4.0,4.0,3.0
2019-01-08,NYC,HEAT/HOT WATER,Noise,Water System,PLUMBING,General Construction/Plumbing,Electronics Waste,Derelict Vehicle,Request Large Bulky Item Collection,Illegal Parking,Noise - Residential,Blocked Driveway,Street Condition,UNSANITARY CONDITION,Street Light Condition,PAINT/PLASTER,"(7891,)",824,199.0,196.0,191.0,170.0,164.0,142.0,600,490.0,387.0,366.0,328.0,294.0,276.0,216.0
2019-01-08,BRONX,HEAT/HOT WATER,DOOR/WINDOW,WATER LEAK,ELECTRIC,FLOORING/STAIRS,Request Large Bulky Item Collection,GENERAL,Noise - Residential,UNSANITARY CONDITION,PAINT/PLASTER,Street Light Condition,PLUMBING,Blocked Driveway,Illegal Parking,Street Condition,"(1464,)",287,46.0,42.0,32.0,31.0,30.0,26.0,107,100.0,92.0,71.0,65.0,64.0,53.0,47.0
2019-01-08,BROOKLYN,Request Large Bulky Item Collection,PAINT/PLASTER,General Construction/Plumbing,Derelict Vehicles,PLUMBING,DOOR/WINDOW,Missed Collection (All Materials),HEAT/HOT WATER,Illegal Parking,Blocked Driveway,Noise - Residential,UNSANITARY CONDITION,Street Condition,Street Light Condition,Electronics Waste,"(2465,)",222,70.0,63.0,62.0,58.0,54.0,51.0,208,176.0,144.0,117.0,110.0,82.0,74.0,70.0
2019-01-08,MANHATTAN,HEAT/HOT WATER,PLUMBING,Water System,PAINT/PLASTER,Noise - Commercial,GENERAL,Homeless Person Assistance,Noise,Noise - Residential,Illegal Parking,Request Large Bulky Item Collection,Street Light Condition,Street Condition,General Construction/Plumbing,UNSANITARY CONDITION,"(1461,)",205,42.0,37.0,30.0,29.0,26.0,22.0,107,93.0,66.0,59.0,53.0,47.0,43.0,43.0
2019-01-08,QUEENS,Request Large Bulky Item Collection,Building/Use,General Construction/Plumbing,Derelict Vehicles,Electronics Waste,Traffic Signal Condition,Sidewalk Condition,Illegal Parking,Blocked Driveway,Street Condition,HEAT/HOT WATER,Derelict Vehicle,Water System,Noise - Residential,Street Light Condition,"(1885,)",236,45.0,42.0,42.0,41.0,39.0,38.0,169,137.0,114.0,113.0,76.0,75.0,55.0,52.0
2019-01-08,STATEN ISLAND,Electronics Waste,DOF Property - Payment Issue,Noise - Residential,Blocked Driveway,HEAT/HOT WATER,General Construction/Plumbing,DOF Property - Request Copy,Request Large Bulky Item Collection,Street Condition,Missed Collection (All Materials),Water System,Illegal Parking,Street Light Condition,Dirty Conditions,Sewer,"(468,)",53,15.0,15.0,14.0,11.0,11.0,10.0,53,36.0,30.0,27.0,25.0,19.0,17.0,16.0
2019-01-08,Unspecified,Benefit Card Replacement,DOF Parking - Request Status,Housing Options,DOF Parking - Request Copy,Street Condition,Animal in a Park,Non-Emergency Police Matter,DOF Parking - Payment Issue,DCA / DOH New License Application Request,HPD Literature Request,Highway Condition,Street Light Condition,Consumer Complaint,Bridge Condition,Question,"(148,)",49,2.0,2.0,2.0,2.0,2.0,2.0,22,11.0,10.0,8.0,7.0,4.0,3.0,3.0
2019-01-09,NYC,HEAT/HOT WATER,PLUMBING,Noise,PAINT/PLASTER,General Construction/Plumbing,Water System,Dirty Conditions,Request Large Bulky Item Collection,Illegal Parking,Blocked Driveway,Street Light Condition,Street Condition,Noise - Residential,UNSANITARY CONDITION,Missed Collection (All Materials),"(7967,)",892,191.0,174.0,171.0,171.0,157.0,153.0,572,465.0,389.0,352.0,348.0,342.0,261.0,215.0
2019-01-09,BRONX,HEAT/HOT WATER,DOOR/WINDOW,WATER LEAK,ELECTRIC,Request Large Bulky Item Collection,FLOORING/STAIRS,GENERAL,Street Light Condition,Noise - Residential,UNSANITARY CONDITION,Blocked Driveway,PLUMBING,Street Condition,Illegal Parking,PAINT/PLASTER,"(1421,)",303,45.0,33.0,31.0,28.0,26.0,25.0,93,89.0,81.0,73.0,64.0,61.0,56.0,53.0
2019-01-09,BROOKLYN,HEAT/HOT WATER,Street Condition,PAINT/PLASTER,WATER LEAK,Electronics Waste,General Construction/Plumbing,Noise,Request Large Bulky Item Collection,Blocked Driveway,Illegal Parking,Noise - Residential,Missed Collection (All Materials),UNSANITARY CONDITION,Street Light Condition,PLUMBING,"(2529,)",221,75.0,67.0,61.0,60.0,60.0,51.0,183,157.0,154.0,108.0,99.0,98.0,85.0,76.0
2019-01-09,MANHATTAN,HEAT/HOT WATER,UNSANITARY CONDITION,Noise - Street/Sidewalk,PAINT/PLASTER,PLUMBING,For Hire Vehicle Complaint,Taxi Complaint,Noise - Residential,Request Large Bulky Item Collection,Noise,Street Light Condition,Illegal Parking,Dirty Conditions,Street Condition,General Construction/Plumbing,"(1480,)",215,43.0,30.0,29.0,29.0,29.0,28.0,82,79.0,79.0,74.0,73.0,60.0,58.0,44.0
2019-01-09,QUEENS,Request Large Bulky Item Collection,Missed Collection (All Materials),Sanitation Condition,Derelict Vehicle,Building/Use,General Construction/Plumbing,Sewer,Illegal Parking,HEAT/HOT WATER,Blocked Driveway,Street Condition,Street Light Condition,Water System,Derelict Vehicles,Noise - Residential,"(1938,)",226,51.0,48.0,45.0,45.0,42.0,36.0,151,147.0,146.0,107.0,78.0,67.0,57.0,53.0
2019-01-09,STATEN ISLAND,Request Large Bulky Item Collection,Sidewalk Condition,Sanitation Condition,Derelict Vehicle,General Construction/Plumbing,Noise,Traffic Signal Condition,Street Condition,Electronics Waste,Missed Collection (All Materials),Illegal Parking,Dirty Conditions,Street Light Condition,Water System,Noise - Residential,"(450,)",56,10.0,10.0,9.0,9.0,9.0,8.0,46,45.0,32.0,30.0,18.0,17.0,13.0,10.0
2019-01-09,Unspecified,Benefit Card Replacement,Street Sign - Missing,Forms,SCRIE,For Hire Vehicle Complaint,OEM Literature Request,Street Sign - Damaged,DOF Parking - Payment Issue,Highway Condition,HPD Literature Request,DCA / DOH New License Application Request,Street Light Condition,Maintenance or Facility,DOF Parking - Request Copy,School Maintenance,"(149,)",41,3.0,3.0,3.0,2.0,2.0,2.0,21,14.0,13.0,9.0,5.0,4.0,4.0,4.0
2019-01-10,NYC,HEAT/HOT WATER,General Construction/Plumbing,PAINT/PLASTER,PLUMBING,DOOR/WINDOW,Missed Collection (All Materials),Traffic Signal Condition,Request Large Bulky Item Collection,Illegal Parking,Blocked Driveway,Street Condition,Noise - Residential,Street Light Condition,UNSANITARY CONDITION,Water System,"(7298,)",1242,174.0,165.0,150.0,147.0,145.0,134.0,511,410.0,298.0,279.0,243.0,227.0,220.0,198.0
