,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
10,ADDRESS,NYPD,New York City Police Department,3032480004,BROOKLYN,,,,BROOKLYN,,04 BROOKLYN,Noise - Residential,2019-06-14T00:04:07.000,DEKALB AVENUE,STOCKHOLM STREET,Banging/Pounding,2019-06-14T08:04:07.000,Precinct,163 IRVING AVENUE,11237,,,,40.70245834972295,"{'type': 'Point', 'coordinates': [-73.920409871201, 40.702458349723]}",Residential Building/House,-73.92040987120129,PHONE,BROOKLYN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,IRVING AVENUE,,42963281,1006318,195211
11,PLACENAME,NYPD,New York City Police Department,1003440001,MANHATTAN,,,,NEW YORK,,03 MANHATTAN,Noise - Street/Sidewalk,2019-06-14T00:04:34.000,RIVINGTON STREET,STANTON STREET,Loud Talking,2019-06-14T08:04:34.000,Precinct,,10002,,,P S 140,40.71915362034517,"{'type': 'Point', 'coordinates': [-73.983452450412, 40.719153620345]}",Street/Sidewalk,-73.98345245041196,PHONE,MANHATTAN,Unspecified,2019-06-14T00:14:50.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,,,42955263,988837,201284
12,ADDRESS,NYPD,New York City Police Department,3030790020,BROOKLYN,,,,BROOKLYN,2019-06-14T01:21:18.000,01 BROOKLYN,Noise - Street/Sidewalk,2019-06-14T00:05:05.000,MANHATTAN AVENUE,GRAHAM AVENUE,Loud Talking,2019-06-14T08:05:05.000,Precinct,138 BOERUM STREET,11206,,,,40.70584525467233,"{'type': 'Point', 'coordinates': [-73.943373734629, 40.705845254672]}",Street/Sidewalk,-73.9433737346291,MOBILE,BROOKLYN,Unspecified,2019-06-14T01:21:18.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,BOERUM STREET,,42963327,999950,196440
13,ADDRESS,NYPD,New York City Police Department,3032960017,BROOKLYN,,,,BROOKLYN,2019-06-14T00:34:18.000,04 BROOKLYN,Blocked Driveway,2019-06-14T00:05:41.000,EVERGREEN AVENUE,CENTRAL AVENUE,No Access,2019-06-14T08:05:41.000,Precinct,1170 GREENE AVENUE,11221,,,,40.69470051826281,"{'type': 'Point', 'coordinates': [-73.922799202109, 40.694700518263]}",Street/Sidewalk,-73.92279920210868,PHONE,BROOKLYN,Unspecified,2019-06-14T00:34:18.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,GREENE AVENUE,,42961677,1005658,192384
14,ADDRESS,NYPD,New York City Police Department,4035540032,QUEENS,,,,RIDGEWOOD,,05 QUEENS,Noise - Residential,2019-06-14T00:05:47.000,WYCKOFF AVENUE,CYPRESS AVENUE,Loud Music/Party,2019-06-14T08:05:47.000,Precinct,1648 NORMAN STREET,11385,,,,40.6961231395672,"{'type': 'Point', 'coordinates': [-73.902227538425, 40.696123139567]}",Residential Building/House,-73.90222753842517,ONLINE,QUEENS,Unspecified,2019-06-14T01:05:52.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,NORMAN STREET,,42956773,1011362,192908
15,ADDRESS,NYPD,New York City Police Department,3050860022,BROOKLYN,,,,BROOKLYN,,14 BROOKLYN,Homeless Encampment,2019-06-14T00:06:04.000,FLATBUSH AVENUE,CATON AVENUE,N/A,2019-06-14T08:06:04.000,Precinct,30 LINDEN BOULEVARD,11226,,,,40.65220215349917,"{'type': 'Point', 'coordinates': [-73.957946460327, 40.652202153499]}",Residential Building/House,-73.9579464603267,PHONE,BROOKLYN,Unspecified,2019-06-14T00:41:26.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,LINDEN BOULEVARD,,42960598,995919,176894
16,ADDRESS,NYPD,New York City Police Department,2057040050,BRONX,,,,BRONX,,08 BRONX,Derelict Vehicle,2019-06-14T00:06:25.000,BROADWAY,GODWIN TERRACE,With License Plate,2019-06-14T08:06:25.000,Precinct,228 NAPLES TERRACE,10463,,,,40.879822366910034,"{'type': 'Point', 'coordinates': [-73.905230068063, 40.87982236691]}",Street/Sidewalk,-73.90523006806254,MOBILE,BRONX,Unspecified,2019-06-14T00:54:38.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,NAPLES TERRACE,,42963231,1010457,259835
17,ADDRESS,NYPD,New York City Police Department,3074000068,BROOKLYN,,,,BROOKLYN,,15 BROOKLYN,Blocked Driveway,2019-06-14T00:07:02.000,AVENUE W,AVENUE X,No Access,2019-06-14T08:07:02.000,Precinct,2327 EAST 15 STREET,11229,,,,40.59365205731292,"{'type': 'Point', 'coordinates': [-73.955412428195, 40.593652057313]}",Street/Sidewalk,-73.95541242819498,ONLINE,BROOKLYN,Unspecified,2019-06-14T00:54:38.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,EAST 15 STREET,,42959012,996633,155563
18,ADDRESS,NYPD,New York City Police Department,,BROOKLYN,,,,BROOKLYN,2019-06-14T00:33:16.000,16 BROOKLYN,Noise - Street/Sidewalk,2019-06-14T00:07:34.000,EAST NEW YORK AVENUE,SUTTER AVENUE,Loud Music/Party,2019-06-14T08:07:34.000,Precinct,619 HOWARD AVENUE,11212,,,,40.66703932634532,"{'type': 'Point', 'coordinates': [-73.919723991025, 40.667039326345]}",Street/Sidewalk,-73.9197239910252,MOBILE,BROOKLYN,Unspecified,2019-06-14T00:33:16.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,HOWARD AVENUE,,42960673,1006520,182307
19,ADDRESS,NYPD,New York City Police Department,1004170001,MANHATTAN,,,,NEW YORK,,03 MANHATTAN,Noise - Street/Sidewalk,2019-06-14T00:07:58.000,STANTON STREET,EAST HOUSTON STREET,Loud Talking,2019-06-14T08:07:58.000,Precinct,224 ELDRIDGE STREET,10002,,,,40.72209126188504,"{'type': 'Point', 'coordinates': [-73.989938271221, 40.722091261885]}",Street/Sidewalk,-73.98993827122148,MOBILE,MANHATTAN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,ELDRIDGE STREET,,42960433,987039,202354
20,ADDRESS,NYPD,New York City Police Department,4017690042,QUEENS,,,,CORONA,,03 QUEENS,Noise - Street/Sidewalk,2019-06-14T00:08:03.000,37 DRIVE,38 AVENUE,Loud Talking,2019-06-14T08:08:03.000,Precinct,37-70 104 STREET,11368,,,,40.751886566289286,"{'type': 'Point', 'coordinates': [-73.862750573541, 40.751886566289]}",Street/Sidewalk,-73.86275057354149,MOBILE,QUEENS,Unspecified,2019-06-14T00:51:36.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,104 STREET,,42957831,1022277,213239
21,ADDRESS,NYPD,New York City Police Department,2025110068,BRONX,,,,BRONX,2019-06-14T01:11:06.000,04 BRONX,Noise - Residential,2019-06-14T00:08:15.000,WEST 162 STREET,WEST 163 STREET,Loud Music/Party,2019-06-14T08:08:15.000,Precinct,963 WOODYCREST AVENUE,10452,,,,40.831669762919574,"{'type': 'Point', 'coordinates': [-73.928754471984, 40.83166976292]}",Residential Building/House,-73.9287544719845,PHONE,BRONX,Unspecified,2019-06-14T01:11:06.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,WOODYCREST AVENUE,,42955465,1003966,242285
22,ADDRESS,NYPD,New York City Police Department,4017780081,QUEENS,,,,CORONA,,03 QUEENS,Noise - Street/Sidewalk,2019-06-14T00:08:28.000,37 DRIVE,38 AVENUE,Loud Talking,2019-06-14T08:08:28.000,Precinct,37-43 108 STREET,11368,,,,40.75292886757419,"{'type': 'Point', 'coordinates': [-73.859886233634, 40.752928867574]}",Street/Sidewalk,-73.85988623363392,MOBILE,QUEENS,Unspecified,2019-06-14T01:01:46.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,108 STREET,,42955261,1023070,213620
23,ADDRESS,NYPD,New York City Police Department,1004227502,MANHATTAN,,,,NEW YORK,2019-06-14T01:36:33.000,03 MANHATTAN,Noise - Commercial,2019-06-14T00:08:59.000,STANTON STREET,EAST HOUSTON STREET,Loud Talking,2019-06-14T08:08:59.000,Precinct,249 ELDRIDGE STREET,10002,,,,40.72285427191464,"{'type': 'Point', 'coordinates': [-73.989570171769, 40.722854271915]}",Club/Bar/Restaurant,-73.9895701717694,PHONE,MANHATTAN,Unspecified,2019-06-14T01:36:33.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,ELDRIDGE STREET,,42955430,987141,202632
24,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,,,,NEW YORK,2019-06-14T01:13:08.000,08 MANHATTAN,Noise - Vehicle,2019-06-14T00:09:12.000,,,Car/Truck Horn,2019-06-14T08:09:12.000,Precinct,,10065,EAST   63 STREET,2 AVENUE,,40.763114133956435,"{'type': 'Point', 'coordinates': [-73.962515114188, 40.763114133956]}",Street/Sidewalk,-73.96251511418777,ONLINE,MANHATTAN,Unspecified,2019-06-14T01:13:08.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,,,42960181,994634,217302
25,ADDRESS,DHS,Operations Unit - Department of Homeless Services,1019880200,MANHATTAN,,,,NEW YORK,2019-06-14T01:37:39.000,09 MANHATTAN,Homeless Person Assistance,2019-06-14T00:09:43.000,WEST 136 STREET,WEST 138 STREET,N/A,2019-06-14T01:09:43.000,N/A,1540 AMSTERDAM AVENUE,10031,,,,40.81976406504372,"{'type': 'Point', 'coordinates': [-73.951619084874, 40.819764065044]}",Park/Playground,-73.95161908487401,MOBILE,MANHATTAN,Unspecified,2019-06-14T01:37:39.000,The mobile outreach response team went to the location provided but could not find the individual that you reported.,,Closed,AMSTERDAM AVENUE,,42959606,997641,237943
26,ADDRESS,NYPD,New York City Police Department,1018310056,MANHATTAN,,,,NEW YORK,2019-06-14T02:27:38.000,10 MANHATTAN,Noise - Street/Sidewalk,2019-06-14T00:09:46.000,ST NICHOLAS AVENUE,8 AVENUE,Loud Music/Party,2019-06-14T08:09:46.000,Precinct,246 WEST 116 STREET,10026,,,,40.803983028211064,"{'type': 'Point', 'coordinates': [-73.954354068446, 40.803983028211]}",Street/Sidewalk,-73.95435406844557,ONLINE,MANHATTAN,Unspecified,2019-06-14T00:23:01.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,WEST 116 STREET,,42964680,996887,232193
27,ADDRESS,NYPD,New York City Police Department,4095170012,QUEENS,,,,SOUTH RICHMOND HILL,,10 QUEENS,Blocked Driveway,2019-06-14T00:10:00.000,103 AVENUE,LIBERTY AVENUE,No Access,2019-06-14T08:10:00.000,Precinct,103-12 113 STREET,11419,,,,40.68619343117127,"{'type': 'Point', 'coordinates': [-73.829879111885, 40.686193431171]}",Street/Sidewalk,-73.8298791118851,PHONE,QUEENS,Unspecified,2019-06-14T01:41:38.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,113 STREET,,42964329,1031431,189321
28,ADDRESS,NYPD,New York City Police Department,2048590015,BRONX,,,,BRONX,,12 BRONX,Noise - Street/Sidewalk,2019-06-14T00:10:10.000,BRONXWOOD AVENUE,PAULDING AVENUE,Loud Music/Party,2019-06-14T08:10:10.000,Precinct,957 EAST 223 STREET,10466,,,,40.884100072823955,"{'type': 'Point', 'coordinates': [-73.854015147844, 40.884100072824]}",Street/Sidewalk,-73.85401514784441,PHONE,BRONX,Unspecified,2019-06-14T02:11:13.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,EAST 223 STREET,,42963082,1024617,261413
29,ADDRESS,NYPD,New York City Police Department,4007380050,QUEENS,,,,WOODSIDE,,01 QUEENS,Noise - Residential,2019-06-14T00:10:21.000,49 STREET,51 STREET,Loud Music/Party,2019-06-14T08:10:21.000,Precinct,50-07 BROADWAY,11377,,,,40.75514517678424,"{'type': 'Point', 'coordinates': [-73.9108324376, 40.755145176784]}",Residential Building/House,-73.91083243759978,ONLINE,QUEENS,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,BROADWAY,,42964658,1008954,214409
30,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,,,,NEW YORK,2019-06-14T01:13:09.000,08 MANHATTAN,Noise - Vehicle,2019-06-14T00:10:22.000,,,Car/Truck Horn,2019-06-14T08:10:22.000,Precinct,,10065,EAST   64 STREET,2 AVENUE,,40.76373429796108,"{'type': 'Point', 'coordinates': [-73.962063527227, 40.763734297961]}",Street/Sidewalk,-73.96206352722663,PHONE,MANHATTAN,Unspecified,2019-06-14T01:13:09.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,,,42960179,994759,217528
31,ADDRESS,NYPD,New York City Police Department,3065600001,BROOKLYN,,,,BROOKLYN,2019-06-14T02:00:01.000,11 BROOKLYN,Illegal Parking,2019-06-14T00:10:26.000,24 AVENUE,DAHILL ROAD,Blocked Sidewalk,2019-06-14T08:10:26.000,Precinct,2401 63 STREET,11204,,,,40.61222666703765,"{'type': 'Point', 'coordinates': [-73.97560201547, 40.612226667038]}",Street/Sidewalk,-73.9756020154697,PHONE,BROOKLYN,Unspecified,2019-06-14T02:00:01.000,The Police Department responded to the complaint and determined that police action was not necessary.,,Closed,63 STREET,,42962735,991024,162328
32,ADDRESS,NYPD,New York City Police Department,4035370012,QUEENS,,,,RIDGEWOOD,,05 QUEENS,Noise - Residential,2019-06-14T00:10:39.000,60 LANE,FRESH POND ROAD,Loud Talking,2019-06-14T08:10:39.000,Precinct,60-78 70 AVENUE,11385,,,,40.702334634092345,"{'type': 'Point', 'coordinates': [-73.896058388712, 40.702334634092]}",Residential Building/House,-73.89605838871204,ONLINE,QUEENS,Unspecified,2019-06-14T01:05:53.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,70 AVENUE,,42961734,1013070,195173
33,ADDRESS,NYPD,New York City Police Department,3009360021,BROOKLYN,,,,BROOKLYN,2019-06-14T01:55:58.000,06 BROOKLYN,Noise - Street/Sidewalk,2019-06-14T00:10:43.000,6 AVENUE,FLATBUSH AVENUE,Loud Talking,2019-06-14T08:10:43.000,Precinct,99 PROSPECT PLACE,11217,,,,40.67887793622259,"{'type': 'Point', 'coordinates': [-73.974110270256, 40.678877936223]}",Street/Sidewalk,-73.97411027025625,MOBILE,BROOKLYN,Unspecified,2019-06-14T01:55:58.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,Closed,PROSPECT PLACE,,42962003,991431,186611
34,ADDRESS,NYPD,New York City Police Department,3001930020,BROOKLYN,,,,BROOKLYN,,02 BROOKLYN,Noise - Commercial,2019-06-14T00:10:44.000,DEAN STREET,BERGEN STREET,Loud Music/Party,2019-06-14T08:10:44.000,Precinct,128 SMITH STREET,11201,,,,40.68727393717941,"{'type': 'Point', 'coordinates': [-73.990109390108, 40.687273937179]}",Club/Bar/Restaurant,-73.99010939010812,ONLINE,BROOKLYN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,SMITH STREET,,42959134,986993,189669
35,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,,,Unspecified BROOKLYN,Street Light Condition,2019-06-14T00:11:00.000,,,Street Light Out,,N/A,,,AVE I,56 ST E,,,,,,UNKNOWN,BROOKLYN,Unspecified,,,,Open,,,42963185,,
36,ADDRESS,NYPD,New York City Police Department,2033450040,BRONX,,,,BRONX,,07 BRONX,Blocked Driveway,2019-06-14T00:12:01.000,EAST 204 STREET,EAST 205 STREET,No Access,2019-06-14T08:12:01.000,Precinct,3131 HULL AVENUE,10467,,,,40.87285785070832,"{'type': 'Point', 'coordinates': [-73.87766205788, 40.872857850708]}",Street/Sidewalk,-73.87766205788017,ONLINE,BRONX,Unspecified,2019-06-14T02:13:17.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,HULL AVENUE,,42958821,1018084,257307
37,BLOCKFACE,NYPD,New York City Police Department,,BROOKLYN,,,,BROOKLYN,2019-06-14T01:22:19.000,07 BROOKLYN,Noise - Residential,2019-06-14T00:12:09.000,6 AVENUE,7 AVENUE,Loud Music/Party,2019-06-14T08:12:09.000,Precinct,39 STREET,11232,,,,40.64927566736552,"{'type': 'Point', 'coordinates': [-74.000616234432, 40.649275667366]}",Residential Building/House,-74.00061623443162,PHONE,BROOKLYN,Unspecified,2019-06-14T01:22:19.000,The Police Department issued a summons in response to the complaint.,,Closed,39 STREET,,42955014,984079,175825
38,LATLONG,DPR,Department of Parks and Recreation,,BROOKLYN,,,,BROOKLYN,,14 BROOKLYN,Damaged Tree,2019-06-14T00:12:14.000,,,Branch or Limb Has Fallen Down,2019-06-22T00:12:14.000,N/A,1608 NEWKIRK AVENUE,11226,,,,40.63585566029134,"{'type': 'Point', 'coordinates': [-73.962107401231, 40.635855660291]}",,-73.96210740123092,MOBILE,BROOKLYN,Unspecified,,"The Department of Parks and Recreation usually requires 4 days to inspect branches that have fallen on streets or sidewalks. If warranted, the issue will be resolved in 10 days. All other locations will be inspected in 8 days and may take up to 45 days to resolve. Please note your Service Request number for future reference.",,Open,NEWKIRK AVENUE,,42961169,994767,170938
39,ADDRESS,NYPD,New York City Police Department,3068800060,BROOKLYN,,,,BROOKLYN,2019-06-14T01:16:13.000,11 BROOKLYN,Illegal Parking,2019-06-14T00:12:17.000,BENSON AVENUE,BATH AVENUE,Blocked Hydrant,2019-06-14T08:12:17.000,Precinct,108 BAY 41 STREET,11214,,,,40.59464823345225,"{'type': 'Point', 'coordinates': [-73.988239911478, 40.594648233452]}",Street/Sidewalk,-73.98823991147835,ONLINE,BROOKLYN,Unspecified,2019-06-14T01:16:13.000,The Police Department issued a summons in response to the complaint.,,Closed,BAY 41 STREET,,42957512,987516,155923
40,ADDRESS,NYPD,New York City Police Department,1020740044,MANHATTAN,,,,NEW YORK,,09 MANHATTAN,Noise - Residential,2019-06-14T00:12:33.000,HAMILTON PLACE,BROADWAY,Loud Music/Party,2019-06-14T08:12:33.000,Precinct,504 WEST 143 STREET,10031,,,,40.82425343135331,"{'type': 'Point', 'coordinates': [-73.949310607608, 40.824253431353]}",Residential Building/House,-73.94931060760759,PHONE,MANHATTAN,Unspecified,2019-06-14T00:19:58.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,WEST 143 STREET,,42964656,998279,239579
41,ADDRESS,NYPD,New York City Police Department,4036020104,QUEENS,,,,MIDDLE VILLAGE,,05 QUEENS,Blocked Driveway,2019-06-14T00:13:15.000,METROPOLITAN AVENUE,ADMIRAL AVENUE,No Access,2019-06-14T08:13:15.000,Precinct,64-23 65 STREET,11379,,,,40.712004312739545,"{'type': 'Point', 'coordinates': [-73.895913454238, 40.71200431274]}",Street/Sidewalk,-73.89591345423801,MOBILE,QUEENS,Unspecified,2019-06-14T01:42:38.000,Your complaint has been received by the Police Department and additional information will be available later.,,Assigned,65 STREET,,42959011,1013106,198696
42,ADDRESS,NYPD,New York City Police Department,2032830025,BRONX,,,,BRONX,,07 BRONX,Noise - Vehicle,2019-06-14T00:13:49.000,EAST 196 STREET,EAST 197 STREET,Car/Truck Music,2019-06-14T08:13:49.000,Precinct,2732 MARION AVENUE,10458,,,,40.86601018889485,"{'type': 'Point', 'coordinates': [-73.888868113988, 40.866010188895]}",Street/Sidewalk,-73.88886811398751,PHONE,BRONX,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. Your complaint will take priority over other non-emergency complaints. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,Open,MARION AVENUE,,42964399,1014988,254808
43,INTERSECTION,DOT,Department of Transportation,,MANHATTAN,,,,NEW YORK,,06 MANHATTAN,Street Condition,2019-06-14T00:13:57.000,,,Defective Hardware,2019-06-24T00:13:57.000,N/A,,10017,1 AVENUE,EAST   49 STREET,,40.75324254921369,"{'type': 'Point', 'coordinates': [-73.966617264135, 40.753242549214]}",Street,-73.96661726413518,ONLINE,MANHATTAN,Unspecified,,The Department of Transportation requires 10 days to respond to this type of complaint.  Please note your Service Request number for future reference.,,Open,,,42961256,993499,213705
44,ADDRESS,NYPD,New York City Police Department,1004347501,MANHATTAN,,,,NEW YORK,2019-06-14T00:29:10.000,03 MANHATTAN,Noise - Commercial,2019-06-14T00:14:14.000,EAST 6 STREET,EAST 7 STREET,Loud Music/Party,2019-06-14T08:14:14.000,Precinct,103 AVENUE A,10009,,,,40.725795975689024,"{'type': 'Point', 'coordinates': [-73.983735821072, 40.725795975689]}",Club/Bar/Restaurant,-73.9837358210722,ONLINE,MANHATTAN,Unspecified,2019-06-14T00:29:10.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,AVENUE A,,42955427,988758,203704
