,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
10,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-18T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-01-18T00:00:00.000,,,Mouse Sighting,2019-02-17T11:43:04.000,N/A,646 RUTLAND ROAD,11203,,,40.65989001658251,"{'type': 'Point', 'coordinates': [-73.938968661968, 40.659890016583]}",3+ Family Apt. Building,-73.93896866196795,MOBILE,BROOKLYN,Unspecified,2019-01-18T11:47:19.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,RUTLAND ROAD,,,41456003,,1001183,179698
11,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-01-18T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-01-18T00:00:00.000,,,Mouse Sighting,2019-02-17T13:28:55.000,N/A,44 DOWNING STREET,10014,,,40.728980965304636,"{'type': 'Point', 'coordinates': [-74.004196127783, 40.728980965305]}",3+ Family Apt. Building,-74.00419612778312,MOBILE,MANHATTAN,Unspecified,2019-01-18T13:30:57.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,DOWNING STREET,,,41456005,,983087,204864
12,BLOCKFACE,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-28T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-01-18T00:00:00.000,PARK PLACE,STERLING PLACE,Rat Sighting,2019-02-17T12:03:36.000,N/A,ALBANY AVENUE,11213,,,40.67237335262841,"{'type': 'Point', 'coordinates': [-73.939126671881, 40.672373352628]}",Other (Explain Below),-73.939126671881,PHONE,BROOKLYN,Unspecified,2019-01-28T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,ALBANY AVENUE,,,41456015,,1001136,184246
13,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2050920004,BRONX,,,,BRONX,2019-01-22T00:00:00.000,12 BRONX,Rodent,2019-01-18T00:00:00.000,ELY AVENUE,GRACE AVENUE,Mouse Sighting,2019-02-17T11:33:34.000,N/A,1909 NEREID AVENUE,10466,,,40.89876034759758,"{'type': 'Point', 'coordinates': [-73.848325582712, 40.898760347598]}",1-2 Family Dwelling,-73.84832558271175,PHONE,BRONX,Unspecified,2019-01-22T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,NEREID AVENUE,,,41456301,,1026181,266757
14,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-25T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-01-18T00:00:00.000,,,Signs of Rodents,2019-02-17T22:48:22.000,N/A,245 MALCOLM X BOULEVARD,11233,,,40.684367769316154,"{'type': 'Point', 'coordinates': [-73.929106555871, 40.684367769316]}",3+ Family Apt. Building,-73.92910655587143,MOBILE,BROOKLYN,Unspecified,2019-01-25T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,MALCOLM X BOULEVARD,,,41456380,,1003912,188618
15,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3078080036,BROOKLYN,,,,BROOKLYN,2019-01-25T00:00:00.000,18 BROOKLYN,Rodent,2019-01-18T00:00:00.000,EAST 38 STREET,EAST 39 STREET,Rat Sighting,2019-02-17T08:10:47.000,N/A,3728 AVENUE K,11210,,,40.625599426768,"{'type': 'Point', 'coordinates': [-73.939003620711, 40.625599426768]}",3+ Family Apt. Building,-73.93900362071128,PHONE,BROOKLYN,Unspecified,2019-01-25T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,AVENUE K,,,41456412,,1001182,167205
16,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4008810046,QUEENS,,,,Astoria,2019-01-22T00:00:00.000,01 QUEENS,Rodent,2019-01-18T00:00:00.000,20 AVENUE,21 AVENUE,Condition Attracting Rodents,2019-02-17T10:58:52.000,N/A,20-16 24 STREET,11105,,,40.782340499179035,"{'type': 'Point', 'coordinates': [-73.911380986742, 40.782340499179]}",3+ Family Apt. Building,-73.91138098674192,PHONE,QUEENS,Unspecified,2019-01-22T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,24 STREET,,,41456561,,1008792,224317
17,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3034380026,BROOKLYN,,,,BROOKLYN,2019-02-05T16:00:25.000,04 BROOKLYN,Rodent,2019-01-18T00:00:00.000,BROADWAY,BUSHWICK AVENUE,Rat Sighting,2019-02-17T19:42:48.000,N/A,36 COOPER STREET,11207,,,40.68434671432969,"{'type': 'Point', 'coordinates': [-73.910689137974, 40.68434671433]}",3+ Family Apt. Building,-73.91068913797449,PHONE,BROOKLYN,Unspecified,2019-02-05T16:00:25.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,COOPER STREET,,,41456754,,1009020,188615
18,ADDRESS,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-01-24T00:00:00.000,02 BRONX,Rodent,2019-01-18T00:00:00.000,CRAVEN STREET,WORTHEN STREET,Rat Sighting,2019-02-17T12:45:59.000,N/A,1175 RANDALL AVENUE,10474,,,40.81132734639264,"{'type': 'Point', 'coordinates': [-73.891802449594, 40.811327346393]}",Commercial Building,-73.89180244959395,PHONE,BRONX,Unspecified,2019-01-24T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,RANDALL AVENUE,,,41456942,,1014201,234884
19,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1018280034,MANHATTAN,,,,NEW YORK,2019-01-18T00:00:00.000,10 MANHATTAN,Rodent,2019-01-18T00:00:00.000,7 AVENUE,8 AVENUE,Rat Sighting,2019-02-17T14:09:00.000,N/A,200 WEST  113 STREET,10026,,,40.80140018861735,"{'type': 'Point', 'coordinates': [-73.954222197569, 40.801400188617]}",3+ Family Mixed Use Building,-73.95422219756892,PHONE,MANHATTAN,Unspecified,2019-01-18T14:17:10.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST  113 STREET,,,41456968,,996924,231252
20,INTERSECTION,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-02-12T00:00:00.000,02 BROOKLYN,Rodent,2019-01-18T00:00:00.000,,,Condition Attracting Rodents,2019-02-17T10:19:57.000,N/A,,11201,COLUMBIA HEIGHTS,MIDDAGH STREET,40.700871841109446,"{'type': 'Point', 'coordinates': [-73.995113193615, 40.700871841109]}",Other (Explain Below),-73.99511319361517,PHONE,BROOKLYN,Unspecified,2019-02-12T15:51:07.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,,,,41457294,,985605,194623
21,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-25T16:48:51.000,Unspecified BROOKLYN,Rodent,2019-01-18T00:00:00.000,,,Rat Sighting,2019-02-17T22:32:07.000,N/A,12 VERNON AVENUE,11206,,,40.6940959611502,"{'type': 'Point', 'coordinates': [-73.951706669032, 40.69409596115]}",3+ Family Apt. Building,-73.9517066690325,MOBILE,BROOKLYN,Unspecified,2019-01-25T16:48:51.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,VERNON AVENUE,,,41457859,,997642,192158
22,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3041810042,BROOKLYN,,,,BROOKLYN,2019-01-29T15:57:55.000,05 BROOKLYN,Rodent,2019-01-18T00:00:00.000,MC KINLEY AVENUE,LIBERTY AVENUE,Mouse Sighting,2019-02-17T19:55:16.000,N/A,118 SHERIDAN AVENUE,11208,,,40.679701974368015,"{'type': 'Point', 'coordinates': [-73.8673914126, 40.679701974368]}",1-2 Family Dwelling,-73.86739141259993,PHONE,BROOKLYN,Unspecified,2019-01-29T15:57:55.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,SHERIDAN AVENUE,,,41457906,,1021031,186938
23,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3047210063,BROOKLYN,,,,BROOKLYN,2019-01-29T00:00:00.000,17 BROOKLYN,Rodent,2019-01-18T00:00:00.000,SNYDER AVENUE,TILDEN AVENUE,Signs of Rodents,2019-02-17T17:41:58.000,N/A,503 EAST   49 STREET,11203,,,40.64939503217017,"{'type': 'Point', 'coordinates': [-73.931129365464, 40.64939503217]}",1-2 Family Dwelling,-73.93112936546443,PHONE,BROOKLYN,Unspecified,2019-01-29T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST   49 STREET,,,41457952,,1003361,175876
24,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2059520374,BRONX,,,,BRONX,2019-01-18T09:36:15.000,08 BRONX,Food Poisoning,2019-01-18T00:00:00.000,WEST 256 STREET,NETHERLAND AVENUE,1 or 2,2019-02-01T08:50:19.000,N/A,5625 ARLINGTON AVENUE,10471,,,40.90500914028705,"{'type': 'Point', 'coordinates': [-73.907133174995, 40.905009140287]}",Other (Explain Below),-73.90713317499502,PHONE,BRONX,Unspecified,2019-01-18T09:36:09.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,ARLINGTON AVENUE,,,41458134,,1009921,269011
25,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-18T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-01-18T00:00:00.000,,,Rat Sighting,2019-02-17T18:55:31.000,N/A,826 MARCY AVENUE,11216,,,40.68530811137981,"{'type': 'Point', 'coordinates': [-73.947505230539, 40.68530811138]}",3+ Family Apt. Building,-73.94750523053887,MOBILE,BROOKLYN,Unspecified,2019-01-18T18:57:26.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,MARCY AVENUE,,,41458293,,998809,188957
26,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-22T16:08:14.000,Unspecified BROOKLYN,Rodent,2019-01-18T00:00:00.000,,,Condition Attracting Rodents,2019-02-17T16:15:40.000,N/A,785 GRAND STREET,11211,,,40.71208878683919,"{'type': 'Point', 'coordinates': [-73.941759660866, 40.712088786839]}",Commercial Building,-73.94175966086584,MOBILE,BROOKLYN,Unspecified,2019-01-22T16:08:14.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,GRAND STREET,,,41458677,,1000396,198715
27,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-01-25T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-01-18T00:00:00.000,,,Rat Sighting,2019-02-17T09:03:20.000,N/A,298 PALMETTO STREET,11237,,,40.69670030106451,"{'type': 'Point', 'coordinates': [-73.913460240262, 40.696700301065]}",3+ Family Apt. Building,-73.91346024026227,MOBILE,BROOKLYN,Unspecified,2019-01-25T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,PALMETTO STREET,,,41458682,,1008247,193115
28,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1019400061,MANHATTAN,,,,NEW YORK,2019-01-22T00:00:00.000,10 MANHATTAN,Rodent,2019-01-18T00:00:00.000,7 AVENUE,8 AVENUE,Condition Attracting Rodents,2019-02-17T16:26:27.000,N/A,276 WEST  135 STREET,10030,,,40.8162812882064,"{'type': 'Point', 'coordinates': [-73.946047137349, 40.816281288206]}",Other (Explain Below),-73.94604713734876,PHONE,MANHATTAN,Unspecified,2019-01-22T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST  135 STREET,,,41458693,,999184,236675
29,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-01-22T00:00:00.000,Unspecified BRONX,Rodent,2019-01-18T00:00:00.000,,,Mouse Sighting,2019-02-17T22:12:59.000,N/A,1279 REV JAMES POLITE AVENUE,10459,,,40.82987159529615,"{'type': 'Point', 'coordinates': [-73.895783272449, 40.829871595296]}",3+ Family Apt. Building,-73.89578327244904,MOBILE,BRONX,Unspecified,2019-01-22T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,REV JAMES POLITE AVENUE,,,41458722,,1013091,241639
30,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3081580205,BROOKLYN,,,,BROOKLYN,2019-01-25T00:00:00.000,18 BROOKLYN,Rodent,2019-01-18T00:00:00.000,EAST 108 STREET,WILLIAMS AVENUE,Rat Sighting,2019-02-17T14:08:08.000,N/A,10835 FLATLANDS AVENUE,11236,,,40.64960077178887,"{'type': 'Point', 'coordinates': [-73.891762011394, 40.649600771789]}",3+ Family Apt. Building,-73.89176201139381,ONLINE,BROOKLYN,Unspecified,2019-01-25T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,FLATLANDS AVENUE,,,41458735,,1014285,175962
31,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3034380026,BROOKLYN,,,,BROOKLYN,2019-02-05T16:00:25.000,04 BROOKLYN,Rodent,2019-01-18T00:00:00.000,BROADWAY,BUSHWICK AVENUE,Rat Sighting,2019-02-17T19:28:59.000,N/A,36 COOPER STREET,11207,,,40.68434671432969,"{'type': 'Point', 'coordinates': [-73.910689137974, 40.68434671433]}",3+ Family Apt. Building,-73.91068913797449,PHONE,BROOKLYN,Unspecified,2019-02-05T16:00:25.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,COOPER STREET,,,41458770,,1009020,188615
32,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3008910052,BROOKLYN,,,,BROOKLYN,2019-01-18T00:00:00.000,07 BROOKLYN,Rodent,2019-01-18T00:00:00.000,5 AVENUE,6 AVENUE,Rat Sighting,2019-02-17T15:58:16.000,N/A,291 21 STREET,11215,,,40.660394487657115,"{'type': 'Point', 'coordinates': [-73.991821818801, 40.660394487657]}",3+ Family Apt. Building,-73.99182181880137,PHONE,BROOKLYN,Unspecified,2019-01-18T16:12:12.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,21 STREET,,,41459035,,986519,179876
33,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2033577501,BRONX,,,,BRONX,2019-01-22T00:00:00.000,07 BRONX,Rodent,2019-01-18T00:00:00.000,EAST 204 STREET,EAST 205 STREET,Mouse Sighting,2019-02-17T17:17:29.000,N/A,3160 WEBSTER AVENUE,10467,,,40.87228202656422,"{'type': 'Point', 'coordinates': [-73.875620190524, 40.872282026564]}",3+ Family Apt. Building,-73.8756201905238,ONLINE,BRONX,Unspecified,2019-01-22T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEBSTER AVENUE,,,41459194,,1018649,257098
34,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2026090037,BRONX,,,,BRONX,2019-01-18T00:00:00.000,03 BRONX,Rodent,2019-01-18T00:00:00.000,EAST 167 STREET,EAST 168 STREET,Rat Sighting,2019-02-17T09:04:34.000,N/A,1199 FULTON AVENUE,10456,,,40.83008531217519,"{'type': 'Point', 'coordinates': [-73.904881743947, 40.830085312175]}",3+ Family Apt. Building,-73.90488174394737,ONLINE,BRONX,Unspecified,2019-01-18T09:08:12.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,FULTON AVENUE,,,41459324,,1010573,241714
35,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1014720041,MANHATTAN,,,,NEW YORK,2019-01-18T00:00:00.000,08 MANHATTAN,Rodent,2019-01-18T00:00:00.000,1 AVENUE,YORK AVENUE,Rat Sighting,2019-02-17T18:32:18.000,N/A,414 EAST   78 STREET,10075,,,40.77141333514884,"{'type': 'Point', 'coordinates': [-73.952628997587, 40.771413335149]}",3+ Family Apt. Building,-73.95262899758745,ONLINE,MANHATTAN,Unspecified,2019-01-18T18:35:11.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST   78 STREET,,,41459376,,997371,220327
36,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3038100001,BROOKLYN,,,,BROOKLYN,2019-02-05T00:00:00.000,05 BROOKLYN,Rodent,2019-01-18T00:00:00.000,DUMONT AVENUE,LIVONIA AVENUE,Rat Sighting,2019-02-17T21:57:13.000,N/A,545 BRADFORD STREET,11207,,,40.66562074606971,"{'type': 'Point', 'coordinates': [-73.89036626931, 40.66562074607]}",3+ Family Apt. Building,-73.89036626930964,PHONE,BROOKLYN,Unspecified,2019-02-05T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,BRADFORD STREET,,,41459766,,1014665,181799
