,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
11,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3044350001,BROOKLYN,,,,BROOKLYN,2019-02-08T00:00:00.000,05 BROOKLYN,Unsanitary Animal Pvt Property,2019-01-27T00:00:00.000,BEND,VANDALIA AVENUE,Cat,2019-02-26T20:47:23.000,N/A,185 ARDSLEY LOOP,11239,,,40.65213936761837,"{'type': 'Point', 'coordinates': [-73.88301490959, 40.652139367618]}",3+ Family Apartment Building,-73.88301490958986,UNKNOWN,BROOKLYN,Unspecified,2019-02-08T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,ARDSLEY LOOP,,41532801,1016711,176890
12,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-01-27T00:00:00.000,Unspecified BRONX,Rodent,2019-01-27T00:00:00.000,,,Rat Sighting,2019-02-26T23:33:45.000,N/A,1362 GRAND CONCOURSE,10456,,,40.83778310658144,"{'type': 'Point', 'coordinates': [-73.913930843001, 40.837783106581]}",3+ Family Apt. Building,-73.91393084300144,MOBILE,BRONX,Unspecified,2019-01-27T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,GRAND CONCOURSE,,41532850,1008066,244516
13,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-01-29T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-01-27T00:00:00.000,,,Rat Sighting,2019-02-26T21:47:17.000,N/A,8 WEST 108 STREET,10025,,,40.79945355787449,"{'type': 'Point', 'coordinates': [-73.959930244325, 40.799453557874]}",3+ Family Apt. Building,-73.95993024432518,MOBILE,MANHATTAN,Unspecified,2019-01-29T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST 108 STREET,,41532851,995344,230542
14,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2032520170,BRONX,,,,BRONX,2019-01-30T00:00:00.000,08 BRONX,Rodent,2019-01-27T00:00:00.000,BEND,VAN CORTLANDT PARK SOUTH,Rat Sighting,2019-02-26T17:26:56.000,N/A,3969 SAXON AVENUE,10463,,,40.883368509365624,"{'type': 'Point', 'coordinates': [-73.889779362382, 40.883368509366]}",Other (Explain Below),-73.88977936238211,PHONE,BRONX,Unspecified,2019-01-30T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,SAXON AVENUE,,41532852,1014728,261132
15,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3033520020,BROOKLYN,,,,BROOKLYN,2019-01-29T00:00:00.000,04 BROOKLYN,Rodent,2019-01-27T00:00:00.000,WILSON AVENUE,KNICKERBOCKER AVENUE,Rat Sighting,2019-02-26T12:23:36.000,N/A,256 PALMETTO STREET,11221,,,40.695746077883086,"{'type': 'Point', 'coordinates': [-73.914741688229, 40.695746077883]}",1-2 Family Dwelling,-73.91474168822944,PHONE,BROOKLYN,Unspecified,2019-01-29T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,PALMETTO STREET,,41532880,1007892,192767
16,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3011760098,BROOKLYN,,,,BROOKLYN,2019-01-27T00:00:00.000,08 BROOKLYN,Rodent,2019-01-27T00:00:00.000,UNDERHILL AVENUE,WASHINGTON AVENUE,Rat Sighting,2019-02-26T11:45:21.000,N/A,407 LINCOLN PLACE,11238,,,40.67283091333569,"{'type': 'Point', 'coordinates': [-73.963023689545, 40.672830913336]}",3+ Family Mixed Use Building,-73.96302368954532,PHONE,BROOKLYN,Unspecified,2019-01-27T11:51:37.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,LINCOLN PLACE,,41532881,994507,184409
17,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3024050037,BROOKLYN,,,,BROOKLYN,2019-02-07T00:00:00.000,01 BROOKLYN,Rodent,2019-01-27T00:00:00.000,BERRY STREET,BEDFORD AVENUE,Rat Sighting,2019-02-26T15:24:04.000,N/A,121 SOUTH    2 STREET,11249,,,40.713552243934195,"{'type': 'Point', 'coordinates': [-73.962835168921, 40.713552243934]}",Other (Explain Below),-73.96283516892105,ONLINE,BROOKLYN,Unspecified,2019-02-07T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,SOUTH    2 STREET,,41532882,994553,199245
18,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2040240045,BRONX,,,,BRONX,2019-01-29T00:00:00.000,11 BRONX,Rodent,2019-01-27T00:00:00.000,DEAD END,VAN NEST AVENUE,Rat Sighting,2019-02-26T17:33:15.000,N/A,1608 TAYLOR AVENUE,10460,,,40.84109057616565,"{'type': 'Point', 'coordinates': [-73.867647967874, 40.841090576166]}",1-2 Family Dwelling,-73.86764796787375,PHONE,BRONX,Unspecified,2019-01-29T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,TAYLOR AVENUE,,41532883,1020871,245737
19,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-02-14T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-01-27T00:00:00.000,,,Condition Attracting Rodents,2019-02-26T09:05:05.000,N/A,525 WEST 29 STREET,10001,,,40.75217965072006,"{'type': 'Point', 'coordinates': [-74.002598679396, 40.75217965072]}",Commercial Building,-74.00259867939637,MOBILE,MANHATTAN,Unspecified,2019-02-14T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST 29 STREET,,41533037,983530,213316
20,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-01-27T00:00:00.000,Unspecified BRONX,Rodent,2019-01-27T00:00:00.000,,,Condition Attracting Rodents,2019-02-26T12:20:53.000,N/A,299 EAST 158 STREET,10451,,,40.82337356544883,"{'type': 'Point', 'coordinates': [-73.917985358327, 40.823373565449]}",3+ Family Apt. Building,-73.91798535832734,MOBILE,BRONX,Unspecified,2019-01-27T12:23:56.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST 158 STREET,,41533093,1006949,239265
21,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3018580011,BROOKLYN,,,,BROOKLYN,2019-02-04T00:00:00.000,03 BROOKLYN,Rodent,2019-01-27T00:00:00.000,THROOP AVENUE,ALBANY AVENUE,Signs of Rodents,2019-02-26T23:48:04.000,N/A,94 DECATUR STREET,11216,,,40.68072049241266,"{'type': 'Point', 'coordinates': [-73.939656258578, 40.680720492413]}",Other (Explain Below),-73.93965625857804,ONLINE,BROOKLYN,Unspecified,2019-02-04T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,DECATUR STREET,,41533141,1000987,187287
22,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3050910049,BROOKLYN,,,,BROOKLYN,2019-01-29T16:02:39.000,17 BROOKLYN,Rodent,2019-01-27T00:00:00.000,MARTENSE STREET,CHURCH AVENUE,Rat Sighting,2019-02-26T06:49:17.000,N/A,1436 NOSTRAND AVENUE,11226,,,40.65129578137027,"{'type': 'Point', 'coordinates': [-73.949636623306, 40.65129578137]}",3+ Family Apt. Building,-73.94963662330588,PHONE,BROOKLYN,Unspecified,2019-01-29T16:02:39.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,NOSTRAND AVENUE,,41533724,998225,176565
23,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4021510101,QUEENS,,,,Forest Hills,2019-02-05T00:00:00.000,06 QUEENS,Rodent,2019-01-27T00:00:00.000,YELLOWSTONE BOULEVARD,108 STREET,Rat Sighting,2019-02-26T15:00:02.000,N/A,105-34 65 AVENUE,11375,,,40.731049962964974,"{'type': 'Point', 'coordinates': [-73.850774784962, 40.731049962965]}",3+ Family Apt. Building,-73.85077478496177,PHONE,QUEENS,Unspecified,2019-02-05T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,65 AVENUE,,41533775,1025608,205653
24,LATLONG,DOHMH,Department of Health and Mental Hygiene,,QUEENS,,,,LONG ISLAND CITY,2019-01-30T16:28:39.000,Unspecified QUEENS,Rodent,2019-01-27T00:00:00.000,,,Condition Attracting Rodents,2019-02-26T18:58:10.000,N/A,29-06 38 AVENUE,11101,,,40.754279416949686,"{'type': 'Point', 'coordinates': [-73.933478922819, 40.75427941695]}",3+ Family Apt. Building,-73.93347892281933,MOBILE,QUEENS,Unspecified,2019-01-30T16:28:39.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,38 AVENUE,,41533936,1002680,214088
25,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2037410014,BRONX,,,,BRONX,2019-01-28T00:00:00.000,09 BRONX,Rodent,2019-01-27T00:00:00.000,WATSON AVENUE,WESTCHESTER AVENUE,Condition Attracting Rodents,2019-02-26T15:55:18.000,N/A,1122 BOYNTON AVENUE,10472,,,40.826752393726984,"{'type': 'Point', 'coordinates': [-73.87778295964, 40.826752393727]}",3+ Family Apt. Building,-73.87778295964034,PHONE,BRONX,Unspecified,2019-01-28T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,BOYNTON AVENUE,,41533954,1018074,240509
26,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2057050030,BRONX,,,,BRONX,2019-01-28T00:00:01.000,08 BRONX,Food Poisoning,2019-01-27T00:00:00.000,NAPLES TERRACE,WEST 232 STREET,3 or More,2019-02-10T10:13:17.000,N/A,5625 BROADWAY,10463,,,40.87985989360841,"{'type': 'Point', 'coordinates': [-73.904141535275, 40.879859893608]}",Restaurant/Bar/Deli/Bakery,-73.90414153527452,ONLINE,BRONX,Unspecified,2019-02-05T11:12:35.000,"Callers should contact the DOHMH Foodborne Illness unit directly at (646) 632-6103 weekdays from 9AM to 5PM.  DOHMH will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection. Initial status will be available 14 days after the date of your complaint. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center.  Please note your Service Request number for future reference.",,Closed,BROADWAY,,41534174,1010758,259849
27,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4091590039,QUEENS,,,,Ozone Park,2019-01-27T00:00:00.000,10 QUEENS,Unsanitary Animal Pvt Property,2019-01-27T00:00:00.000,107 AVENUE,SUTTER AVENUE,Dog,2019-02-26T16:33:49.000,N/A,107-62 93 STREET,11417,,,40.67837847603292,"{'type': 'Point', 'coordinates': [-73.845016024031, 40.678378476033]}",1-2 Family Dwelling,-73.84501602403132,UNKNOWN,QUEENS,Unspecified,2019-01-27T16:38:51.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,93 STREET,,41534592,1027238,186466
28,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-01-27T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-01-27T00:00:00.000,,,Rat Sighting,2019-02-26T22:17:36.000,N/A,229 EAST 96 STREET,10029,,,40.784772539791305,"{'type': 'Point', 'coordinates': [-73.947607363458, 40.784772539791]}",3+ Family Apt. Building,-73.94760736345788,MOBILE,MANHATTAN,Unspecified,2019-01-27T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST 96 STREET,,41534628,998759,225195
29,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1021170019,MANHATTAN,,,,NEW YORK,2019-01-27T00:00:00.000,12 MANHATTAN,Rodent,2019-01-27T00:00:00.000,AMSTERDAM AVENUE,BROADWAY,Rat Sighting,2019-02-26T19:01:53.000,N/A,534 WEST  159 STREET,10032,,,40.83453999981009,"{'type': 'Point', 'coordinates': [-73.942158395496, 40.83453999981]}",3+ Family Apt. Building,-73.94215839549561,ONLINE,MANHATTAN,Unspecified,2019-01-27T19:06:15.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST  159 STREET,,41534641,1000256,243328
30,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1016300022,MANHATTAN,,,,NEW YORK,2019-01-27T00:00:00.000,11 MANHATTAN,Rodent,2019-01-27T00:00:00.000,LEXINGTON AVENUE,3 AVENUE,Mouse Sighting,2019-02-26T02:55:02.000,N/A,159 EAST  102 STREET,10029,,,40.78942757241077,"{'type': 'Point', 'coordinates': [-73.947531474278, 40.789427572411]}",Commercial Building,-73.94753147427762,PHONE,MANHATTAN,Unspecified,2019-01-27T03:01:40.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST  102 STREET,,41534702,998779,226891
31,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1007600021,MANHATTAN,,,,NEW YORK,2019-02-14T00:00:00.000,04 MANHATTAN,Rodent,2019-01-27T00:00:00.000,8 AVENUE,9 AVENUE,Condition Attracting Rodents,2019-02-26T14:02:43.000,N/A,327 WEST   36 STREET,10018,,,40.75388947204049,"{'type': 'Point', 'coordinates': [-73.993470650421, 40.75388947204]}",Commercial Building,-73.9934706504215,ONLINE,MANHATTAN,Unspecified,2019-02-14T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST   36 STREET,,41534742,986059,213939
32,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1004700009,MANHATTAN,,,,NEW YORK,,02 MANHATTAN,Rodent,2019-01-27T00:00:00.000,ELIZABETH STREET,MOTT STREET,Mouse Sighting,2019-02-26T17:29:34.000,N/A,369 BROOME STREET,10013,,,40.72012638199982,"{'type': 'Point', 'coordinates': [-73.995919871018, 40.720126382]}",3+ Family Apt. Building,-73.99591987101789,ONLINE,MANHATTAN,Unspecified,2019-03-01T09:03:01.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Assigned,BROOME STREET,,41534748,985381,201638
33,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4036860028,QUEENS,,,,Ridgewood,2019-01-29T00:00:00.000,05 QUEENS,Rodent,2019-01-27T00:00:00.000,CENTRAL AVENUE,COOPER AVENUE,Condition Attracting Rodents,2019-02-26T10:33:38.000,N/A,71-38 71 STREET,11385,,,40.7041837342903,"{'type': 'Point', 'coordinates': [-73.880986791235, 40.70418373429]}",3+ Family Apt. Building,-73.88098679123526,ONLINE,QUEENS,Unspecified,2019-01-29T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,71 STREET,,41534894,1017248,195852
34,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4029740137,QUEENS,,,,Rego Park,2019-03-01T00:00:00.000,05 QUEENS,Rodent,2019-01-27T00:00:00.000,62 ROAD,62 DRIVE,Rat Sighting,2019-02-26T09:12:26.000,N/A,62-30 WOODHAVEN BOULEVARD,11374,,,40.72596540377152,"{'type': 'Point', 'coordinates': [-73.870113485935, 40.725965403772]}",Commercial Building,-73.87011348593511,PHONE,QUEENS,Unspecified,2019-03-01T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WOODHAVEN BOULEVARD,,41535469,1020251,203792
35,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1017560030,MANHATTAN,,,,NEW YORK,2019-01-27T00:00:00.000,11 MANHATTAN,Rodent,2019-01-27T00:00:00.000,MADISON AVENUE,PARK AVENUE,Rat Sighting,2019-02-26T12:35:15.000,N/A,53 EAST  131 STREET,10037,,,40.8093300190546,"{'type': 'Point', 'coordinates': [-73.937386680069, 40.809330019055]}",3+ Family Apt. Building,-73.93738668006867,PHONE,MANHATTAN,Unspecified,2019-01-27T12:42:14.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST  131 STREET,,41535482,1001583,234144
36,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4097380114,QUEENS,,,,Jamaica,2019-01-30T00:00:00.000,08 QUEENS,Rodent,2019-01-27T00:00:00.000,DANIELS STREET,SMEDLEY STREET,Mouse Sighting,2019-02-26T09:04:16.000,N/A,143-50 HOOVER AVENUE,11435,,,40.71423000153635,"{'type': 'Point', 'coordinates': [-73.81482672991, 40.714230001536]}",3+ Family Apt. Building,-73.81482672991002,PHONE,QUEENS,Unspecified,2019-01-30T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,HOOVER AVENUE,,41535653,1035584,199544
